"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"M20284645_CLP","pitcher","hard","0.285714285714286",0,1,"Read","ball","Study1","M","Study Phase",2809,"Recall1","MSU"
"M20315914KM","gown","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1049,"Recall1","MSU"
"M20323006SS","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",2020,"Recall1","MSU"
"M20323021_nn","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",12531,"Recall1","MSU"
"M20327479I.M.","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",1720,"Recall1","MSU"
"M20333877_epm","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1953,"Recall1","MSU"
"M20334444_CAD","drop","hard","0.5",0,1,"Read","ball","Study1","M","Study Phase",2344,"Recall1","MSU"
"M20337240_kg","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",1715,"Recall1","MSU"
"M20337746_mr","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",1621,"Recall1","MSU"
"M20339580","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1499,"Recall1","MSU"
"M20340664_ld","red","hard","0.5",0,1,"Read","ball","Study1","M","Study Phase",1993,"Recall1","MSU"
"M20340883_pem","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1569,"Recall1","MSU"
"M20342121","dribble ","hard","0.25",0,1,"Read","ball","Study1","M","Study Phase",1294,"Recall1","MSU"
"M20343281ega","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",8139,"Recall1","MSU"
"M20346509_saja","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1764,"Recall1","MSU"
"M20347444_cmb","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1956,"Recall1","MSU"
"M20348084_HJH","hard","hard","1",1,1,"Read","ball","Study1","M","Study Phase",2331,"Recall1","MSU"
"20339972JT","theory","fuzzy","0.166666666666667",0,1,"Read","bang","Study1","U","Study Phase",1410,"Recall1","MSU"
"M20223504BG","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",6247,"Recall1","MSU"
"m20280873MG","fall","fuzzy","0.2",0,1,"Read","bang","Study1","U","Study Phase",1304,"Recall1","MSU"
"M20284645_CLP","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",3150,"Recall1","MSU"
"M20315914KM","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",4536,"Recall1","MSU"
"M20323006SS","loud","fuzzy","0.2",0,1,"Read","bang","Study1","U","Study Phase",1598,"Recall1","MSU"
"M20323021_nn","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",10165,"Recall1","MSU"
"M20327479I.M.","gun","fuzzy","0.2",0,1,"Read","bang","Study1","U","Study Phase",1687,"Recall1","MSU"
"M20333877_epm","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",1938,"Recall1","MSU"
"M20334444_CAD","shot","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",2510,"Recall1","MSU"
"M20337240_kg","high","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",5072,"Recall1","MSU"
"M20337746_mr","fuzzy","fuzzy","1",1,1,"Read","bang","Study1","U","Study Phase",4074,"Recall1","MSU"
"M20339580","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",1069,"Recall1","MSU"
"M20340664_ld","fuzzy","fuzzy","1",1,1,"Read","bang","Study1","U","Study Phase",5740,"Recall1","MSU"
"M20340883_pem","loud","fuzzy","0.2",0,1,"Read","bang","Study1","U","Study Phase",1269,"Recall1","MSU"
"M20342121","train","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",1366,"Recall1","MSU"
"M20343281ega","fuzzy","fuzzy","1",1,1,"Read","bang","Study1","U","Study Phase",7918,"Recall1","MSU"
"M20346509_saja","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",1526,"Recall1","MSU"
"M20347444_cmb","","fuzzy","0",0,1,"Read","bang","Study1","U","Study Phase",19248,"Recall1","MSU"
"M20348084_HJH","fuzzy","fuzzy","1",1,1,"Read","bang","Study1","U","Study Phase",3558,"Recall1","MSU"
"20339972JT","drunk","cry","0.2",0,1,"Read","beer","Study1","M","Study Phase",1608,"Recall1","MSU"
"M20223504BG","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",226,"Recall1","MSU"
"m20280873MG","drink","cry","0.2",0,1,"Read","beer","Study1","M","Study Phase",837,"Recall1","MSU"
"M20284645_CLP","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1942,"Recall1","MSU"
"M20315914KM","can","cry","0.333333333333333",0,1,"Read","beer","Study1","M","Study Phase",2342,"Recall1","MSU"
"M20323006SS","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",2113,"Recall1","MSU"
"M20323021_nn","apple","cry","0",0,1,"Read","beer","Study1","M","Study Phase",3804,"Recall1","MSU"
"M20327479I.M.","drink","cry","0.2",0,1,"Read","beer","Study1","M","Study Phase",1035,"Recall1","MSU"
"M20333877_epm","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",1743,"Recall1","MSU"
"M20334444_CAD","belly","cry","0.2",0,1,"Read","beer","Study1","M","Study Phase",4239,"Recall1","MSU"
"M20337240_kg","cold","cry","0.25",0,1,"Read","beer","Study1","M","Study Phase",3020,"Recall1","MSU"
"M20337746_mr","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",1905,"Recall1","MSU"
"M20339580","fun ","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1072,"Recall1","MSU"
"M20340664_ld","any","cry","0.333333333333333",0,1,"Read","beer","Study1","M","Study Phase",4210,"Recall1","MSU"
"M20340883_pem","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1011,"Recall1","MSU"
"M20342121","can","cry","0.333333333333333",0,1,"Read","beer","Study1","M","Study Phase",886,"Recall1","MSU"
"M20343281ega","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",8427,"Recall1","MSU"
"M20346509_saja","can","cry","0.333333333333333",0,1,"Read","beer","Study1","M","Study Phase",1551,"Recall1","MSU"
"M20347444_cmb","mud","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1891,"Recall1","MSU"
"M20348084_HJH","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",3059,"Recall1","MSU"
"20339972JT","bucle","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2441,"Recall1","MSU"
"M20223504BG","soon","soon","1",1,1,"Read","belt","Study1","U","Study Phase",4479,"Recall1","MSU"
"m20280873MG","waist","soon","0.2",0,1,"Read","belt","Study1","U","Study Phase",2955,"Recall1","MSU"
"M20284645_CLP","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2454,"Recall1","MSU"
"M20315914KM","soon","soon","1",1,1,"Read","belt","Study1","U","Study Phase",3186,"Recall1","MSU"
"M20323006SS","pants","soon","0.4",0,1,"Read","belt","Study1","U","Study Phase",1590,"Recall1","MSU"
"M20323021_nn","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",20153,"Recall1","MSU"
"M20327479I.M.","whip","soon","0",0,1,"Read","belt","Study1","U","Study Phase",1914,"Recall1","MSU"
"M20333877_epm","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2274,"Recall1","MSU"
"M20334444_CAD","charm","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2452,"Recall1","MSU"
"M20337240_kg","line","soon","0.25",0,1,"Read","belt","Study1","U","Study Phase",1164,"Recall1","MSU"
"M20337746_mr","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2541,"Recall1","MSU"
"M20339580","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",984,"Recall1","MSU"
"M20340664_ld","soon","soon","1",1,1,"Read","belt","Study1","U","Study Phase",8690,"Recall1","MSU"
"M20340883_pem","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",3035,"Recall1","MSU"
"M20342121","boys","soon","0.5",0,1,"Read","belt","Study1","U","Study Phase",1494,"Recall1","MSU"
"M20343281ega","soon","soon","1",1,1,"Read","belt","Study1","U","Study Phase",9858,"Recall1","MSU"
"M20346509_saja","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",3155,"Recall1","MSU"
"M20347444_cmb","","soon","0",0,1,"Read","belt","Study1","U","Study Phase",2139,"Recall1","MSU"
"M20348084_HJH","soon","soon","1",1,1,"Read","belt","Study1","U","Study Phase",4707,"Recall1","MSU"
"20339972JT","sky","swan","0.25",0,1,"Read","bird","Study1","F","Study Phase",1479,"Recall1","MSU"
"M20223504BG","","swan","0",0,1,"Read","bird","Study1","F","Study Phase",46473,"Recall1","MSU"
"m20280873MG","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",2698,"Recall1","MSU"
"M20284645_CLP","","swan","0",0,1,"Read","bird","Study1","F","Study Phase",1718,"Recall1","MSU"
"M20315914KM","","swan","0",0,1,"Read","bird","Study1","F","Study Phase",2792,"Recall1","MSU"
"M20323006SS","nest","swan","0.5",0,1,"Read","bird","Study1","F","Study Phase",2162,"Recall1","MSU"
"M20323021_nn","tree","swan","0",0,1,"Read","bird","Study1","F","Study Phase",6744,"Recall1","MSU"
"M20327479I.M.","cage","swan","0.25",0,1,"Read","bird","Study1","F","Study Phase",1581,"Recall1","MSU"
"M20333877_epm","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",2183,"Recall1","MSU"
"M20334444_CAD","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",2589,"Recall1","MSU"
"M20337240_kg","","swan","0",0,1,"Read","bird","Study1","F","Study Phase",1230,"Recall1","MSU"
"M20337746_mr","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",1765,"Recall1","MSU"
"M20339580","","swan","0",0,1,"Read","bird","Study1","F","Study Phase",958,"Recall1","MSU"
"M20340664_ld","sawn","swan","1",1,1,"Read","bird","Study1","F","Study Phase",5696,"Recall1","MSU"
"M20340883_pem","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",40048,"Recall1","MSU"
"M20342121","feather","swan","0.142857142857143",0,1,"Read","bird","Study1","F","Study Phase",4996,"Recall1","MSU"
"M20343281ega","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",7053,"Recall1","MSU"
"M20346509_saja","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",1341,"Recall1","MSU"
"M20347444_cmb","swan","swan","1",1,1,"Read","bird","Study1","F","Study Phase",3515,"Recall1","MSU"
"M20348084_HJH","swam","swan","0.75",1,1,"Read","bird","Study1","F","Study Phase",2846,"Recall1","MSU"
"20339972JT","red","day","0.333333333333333",0,1,"Read","black","Study1","M","Study Phase",1622,"Recall1","MSU"
"M20223504BG","","day","0",0,1,"Read","black","Study1","M","Study Phase",7262,"Recall1","MSU"
"m20280873MG","brown","day","0",0,1,"Read","black","Study1","M","Study Phase",1409,"Recall1","MSU"
"M20284645_CLP","day","day","1",1,1,"Read","black","Study1","M","Study Phase",1698,"Recall1","MSU"
"M20315914KM","day","day","1",1,1,"Read","black","Study1","M","Study Phase",2674,"Recall1","MSU"
"M20323006SS","dark","day","0.5",0,1,"Read","black","Study1","M","Study Phase",1969,"Recall1","MSU"
"M20323021_nn","","day","0",0,1,"Read","black","Study1","M","Study Phase",32,"Recall1","MSU"
"M20327479I.M.","day","day","1",1,1,"Read","black","Study1","M","Study Phase",1642,"Recall1","MSU"
"M20333877_epm","day","day","1",1,1,"Read","black","Study1","M","Study Phase",2446,"Recall1","MSU"
"M20334444_CAD","cap","day","0.333333333333333",0,1,"Read","black","Study1","M","Study Phase",2836,"Recall1","MSU"
"M20337240_kg","day","day","1",1,1,"Read","black","Study1","M","Study Phase",1269,"Recall1","MSU"
"M20337746_mr","day","day","1",1,1,"Read","black","Study1","M","Study Phase",2167,"Recall1","MSU"
"M20339580","","day","0",0,1,"Read","black","Study1","M","Study Phase",1158,"Recall1","MSU"
"M20340664_ld","day","day","1",1,1,"Read","black","Study1","M","Study Phase",9511,"Recall1","MSU"
"M20340883_pem","day","day","1",1,1,"Read","black","Study1","M","Study Phase",20083,"Recall1","MSU"
"M20342121","","day","0",0,1,"Read","black","Study1","M","Study Phase",4777,"Recall1","MSU"
"M20343281ega","day","day","1",1,1,"Read","black","Study1","M","Study Phase",11282,"Recall1","MSU"
"M20346509_saja","swan","day","0.25",0,1,"Read","black","Study1","M","Study Phase",4227,"Recall1","MSU"
"M20347444_cmb","day","day","1",1,1,"Read","black","Study1","M","Study Phase",3948,"Recall1","MSU"
"M20348084_HJH","","day","0",0,1,"Read","black","Study1","M","Study Phase",2562,"Recall1","MSU"
"20339972JT","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1064,"Recall1","MSU"
"M20223504BG","","credit","0",0,1,"Read","card","Study1","F","Study Phase",4202,"Recall1","MSU"
"m20280873MG","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1615,"Recall1","MSU"
"M20284645_CLP","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1758,"Recall1","MSU"
"M20315914KM","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1593,"Recall1","MSU"
"M20323006SS","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1909,"Recall1","MSU"
"M20323021_nn","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",3578,"Recall1","MSU"
"M20327479I.M.","note","credit","0.333333333333333",0,1,"Read","card","Study1","F","Study Phase",1020,"Recall1","MSU"
"M20333877_epm","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1712,"Recall1","MSU"
"M20334444_CAD","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",2264,"Recall1","MSU"
"M20337240_kg","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",5512,"Recall1","MSU"
"M20337746_mr","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1442,"Recall1","MSU"
"M20339580","","credit","0",0,1,"Read","card","Study1","F","Study Phase",1195,"Recall1","MSU"
"M20340664_ld","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",5214,"Recall1","MSU"
"M20340883_pem","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",19546,"Recall1","MSU"
"M20342121","mail","credit","0.166666666666667",0,1,"Read","card","Study1","F","Study Phase",1786,"Recall1","MSU"
"M20343281ega","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",8393,"Recall1","MSU"
"M20346509_saja","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",1664,"Recall1","MSU"
"M20347444_cmb","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",2310,"Recall1","MSU"
"M20348084_HJH","credit","credit","1",1,1,"Read","card","Study1","F","Study Phase",5377,"Recall1","MSU"
"20339972JT","cute","vehicle","0.285714285714286",0,1,"Read","charm","Study1","U","Study Phase",1178,"Recall1","MSU"
"M20223504BG","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",6393,"Recall1","MSU"
"m20280873MG","flirt","vehicle","0.285714285714286",0,1,"Read","charm","Study1","U","Study Phase",2172,"Recall1","MSU"
"M20284645_CLP","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1895,"Recall1","MSU"
"M20315914KM","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1890,"Recall1","MSU"
"M20323006SS","bracelet ","vehicle","0.444444444444444",0,1,"Read","charm","Study1","U","Study Phase",1537,"Recall1","MSU"
"M20323021_nn","bracelet","vehicle","0.5",0,1,"Read","charm","Study1","U","Study Phase",340,"Recall1","MSU"
"M20327479I.M.","farm","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1279,"Recall1","MSU"
"M20333877_epm","vehicle ","vehicle","0.875",1,1,"Read","charm","Study1","U","Study Phase",1921,"Recall1","MSU"
"M20334444_CAD","braclet","vehicle","0.428571428571429",0,1,"Read","charm","Study1","U","Study Phase",2849,"Recall1","MSU"
"M20337240_kg","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1641,"Recall1","MSU"
"M20337746_mr","car","vehicle","0.142857142857143",0,1,"Read","charm","Study1","U","Study Phase",3707,"Recall1","MSU"
"M20339580","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1245,"Recall1","MSU"
"M20340664_ld","light","vehicle","0.428571428571429",0,1,"Read","charm","Study1","U","Study Phase",10133,"Recall1","MSU"
"M20340883_pem","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",1416,"Recall1","MSU"
"M20342121","bracelet","vehicle","0.5",0,1,"Read","charm","Study1","U","Study Phase",4397,"Recall1","MSU"
"M20343281ega","vehicle","vehicle","1",1,1,"Read","charm","Study1","U","Study Phase",12043,"Recall1","MSU"
"M20346509_saja","","vehicle","0",0,1,"Read","charm","Study1","U","Study Phase",3047,"Recall1","MSU"
"M20347444_cmb","truck","vehicle","0.142857142857143",0,1,"Read","charm","Study1","U","Study Phase",3694,"Recall1","MSU"
"M20348084_HJH","car","vehicle","0.142857142857143",0,1,"Read","charm","Study1","U","Study Phase",3080,"Recall1","MSU"
"20339972JT","house","hygiene","0.285714285714286",0,1,"Read","clean","Study1","F","Study Phase",1801,"Recall1","MSU"
"M20223504BG","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",237,"Recall1","MSU"
"m20280873MG","messy","hygiene","0.285714285714286",0,1,"Read","clean","Study1","F","Study Phase",2292,"Recall1","MSU"
"M20284645_CLP","clothes","hygiene","0.285714285714286",0,1,"Read","clean","Study1","F","Study Phase",1767,"Recall1","MSU"
"M20315914KM","hygiene","hygiene","1",1,1,"Read","clean","Study1","F","Study Phase",2227,"Recall1","MSU"
"M20323006SS","clear","hygiene","0.142857142857143",0,1,"Read","clean","Study1","F","Study Phase",1778,"Recall1","MSU"
"M20323021_nn","hygiene","hygiene","1",1,1,"Read","clean","Study1","F","Study Phase",5230,"Recall1","MSU"
"M20327479I.M.","room","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",1701,"Recall1","MSU"
"M20333877_epm","hygiene","hygiene","1",1,1,"Read","clean","Study1","F","Study Phase",1914,"Recall1","MSU"
"M20334444_CAD","car","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",2460,"Recall1","MSU"
"M20337240_kg","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",1495,"Recall1","MSU"
"M20337746_mr","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",2467,"Recall1","MSU"
"M20339580","hygiene ","hygiene","0.875",1,1,"Read","clean","Study1","F","Study Phase",990,"Recall1","MSU"
"M20340664_ld","hygiene","hygiene","1",1,1,"Read","clean","Study1","F","Study Phase",12755,"Recall1","MSU"
"M20340883_pem","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",1572,"Recall1","MSU"
"M20342121","freak","hygiene","0.142857142857143",0,1,"Read","clean","Study1","F","Study Phase",4847,"Recall1","MSU"
"M20343281ega","hygiene","hygiene","1",1,1,"Read","clean","Study1","F","Study Phase",14517,"Recall1","MSU"
"M20346509_saja","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",1287,"Recall1","MSU"
"M20347444_cmb","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",4082,"Recall1","MSU"
"M20348084_HJH","","hygiene","0",0,1,"Read","clean","Study1","F","Study Phase",2848,"Recall1","MSU"
"20339972JT","garmet","stretch","0.428571428571429",0,1,"Read","cloth","Study1","U","Study Phase",935,"Recall1","MSU"
"M20223504BG","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",7097,"Recall1","MSU"
"m20280873MG","seam","stretch","0.285714285714286",0,1,"Read","cloth","Study1","U","Study Phase",1334,"Recall1","MSU"
"M20284645_CLP","hang","stretch","0.142857142857143",0,1,"Read","cloth","Study1","U","Study Phase",2528,"Recall1","MSU"
"M20315914KM","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",2541,"Recall1","MSU"
"M20323006SS","stretch ","stretch","0.875",1,1,"Read","cloth","Study1","U","Study Phase",2007,"Recall1","MSU"
"M20323021_nn","clothes","stretch","0.714285714285714",0,1,"Read","cloth","Study1","U","Study Phase",7072,"Recall1","MSU"
"M20327479I.M.","clothes ","stretch","0.625",0,1,"Read","cloth","Study1","U","Study Phase",2808,"Recall1","MSU"
"M20333877_epm","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",2754,"Recall1","MSU"
"M20334444_CAD","shopping","stretch","0.25",0,1,"Read","cloth","Study1","U","Study Phase",3850,"Recall1","MSU"
"M20337240_kg","sloth","stretch","0.428571428571429",0,1,"Read","cloth","Study1","U","Study Phase",1733,"Recall1","MSU"
"M20337746_mr","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",3546,"Recall1","MSU"
"M20339580","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",1170,"Recall1","MSU"
"M20340664_ld","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",5321,"Recall1","MSU"
"M20340883_pem","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",47305,"Recall1","MSU"
"M20342121","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",2759,"Recall1","MSU"
"M20343281ega","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",8765,"Recall1","MSU"
"M20346509_saja","stretch","stretch","1",1,1,"Read","cloth","Study1","U","Study Phase",1193,"Recall1","MSU"
"M20347444_cmb","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",31534,"Recall1","MSU"
"M20348084_HJH","","stretch","0",0,1,"Read","cloth","Study1","U","Study Phase",2211,"Recall1","MSU"
"20339972JT","brush","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",1689,"Recall1","MSU"
"M20223504BG","","tooth","0",0,1,"Read","comb","Study1","M","Study Phase",6509,"Recall1","MSU"
"m20280873MG","brush","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",1874,"Recall1","MSU"
"M20284645_CLP","","tooth","0",0,1,"Read","comb","Study1","M","Study Phase",2852,"Recall1","MSU"
"M20315914KM","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",3057,"Recall1","MSU"
"M20323006SS","brush ","tooth","0.166666666666667",0,1,"Read","comb","Study1","M","Study Phase",2064,"Recall1","MSU"
"M20323021_nn","","tooth","0",0,1,"Read","comb","Study1","M","Study Phase",26900,"Recall1","MSU"
"M20327479I.M.","hair","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",1857,"Recall1","MSU"
"M20333877_epm","","tooth","0",0,1,"Read","comb","Study1","M","Study Phase",2182,"Recall1","MSU"
"M20334444_CAD","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",4168,"Recall1","MSU"
"M20337240_kg","hot","tooth","0.6",0,1,"Read","comb","Study1","M","Study Phase",1180,"Recall1","MSU"
"M20337746_mr","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",1738,"Recall1","MSU"
"M20339580","brush","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",2195,"Recall1","MSU"
"M20340664_ld","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",8705,"Recall1","MSU"
"M20340883_pem","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",1777,"Recall1","MSU"
"M20342121","hair","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",6834,"Recall1","MSU"
"M20343281ega","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",8647,"Recall1","MSU"
"M20346509_saja","hair","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",2355,"Recall1","MSU"
"M20347444_cmb","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",3464,"Recall1","MSU"
"M20348084_HJH","teeth","tooth","0.6",0,1,"Read","comb","Study1","M","Study Phase",4969,"Recall1","MSU"
"20339972JT","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",914,"Recall1","MSU"
"20339972JT","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",1252,"Recall1","MSU"
"M20223504BG","","mule","0",0,1,"Read","donkey","Study1","F","Study Phase",5488,"Recall1","MSU"
"M20223504BG","","mule","0",0,1,"Read","donkey","Study1","F","Study Phase",4909,"Recall1","MSU"
"m20280873MG","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",2945,"Recall1","MSU"
"m20280873MG","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",2360,"Recall1","MSU"
"M20284645_CLP","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",1188,"Recall1","MSU"
"M20284645_CLP","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",4039,"Recall1","MSU"
"M20315914KM","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",3124,"Recall1","MSU"
"M20315914KM","mule","mule","1",1,1,"Read","donkey","Study1","F","Study Phase",1858,"Recall1","MSU"
"M20323006SS","kick","mule","0",0,1,"Read","donkey","Study1","F","Study Phase",1722,"Recall1","MSU"
