"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1","source"
"M20338998SM","hand","hand",2,"JOL","cake","Study1","U","Study Phase",5150,80,"Recall1","MSU"
"M20339166AP","pop ","hand",2,"JOL","cake","Study1","U","Study Phase",7985,20,"Recall1","MSU"
"M20346505_PC","birthday","hand",2,"JOL","cake","Study1","U","Study Phase",3563,23,"Recall1","MSU"
"M20348221MH","wedding","hand",2,"JOL","cake","Study1","U","Study Phase",9703,0,"Recall1","MSU"
"M20350230JMY","hand","hand",2,"JOL","cake","Study1","U","Study Phase",3403,32,"Recall1","MSU"
"M20301852CE","","rug",2,"JOL","ceiling","Study1","M","Study Phase",4105,0,"Recall1","MSU"
"M20324226_AG","carpet","rug",2,"JOL","ceiling","Study1","M","Study Phase",6413,85,"Recall1","MSU"
"M20338519CB","rug","rug",2,"JOL","ceiling","Study1","M","Study Phase",5389,50,"Recall1","MSU"
"M20338998SM","rug","rug",2,"JOL","ceiling","Study1","M","Study Phase",6139,80,"Recall1","MSU"
"M20339166AP","rug","rug",2,"JOL","ceiling","Study1","M","Study Phase",5837,5,"Recall1","MSU"
"M20346505_PC","carpet","rug",2,"JOL","ceiling","Study1","M","Study Phase",4819,12,"Recall1","MSU"
"M20348221MH","floor","rug",2,"JOL","ceiling","Study1","M","Study Phase",3177,0,"Recall1","MSU"
"M20350230JMY","","rug",2,"JOL","ceiling","Study1","M","Study Phase",4272,13,"Recall1","MSU"
"M20301852CE","","fun",2,"JOL","circle","Study1","M","Study Phase",3349,0,"Recall1","MSU"
"M20324226_AG","fun","fun",2,"JOL","circle","Study1","M","Study Phase",3623,75,"Recall1","MSU"
"M20338519CB","fun","fun",2,"JOL","circle","Study1","M","Study Phase",3084,1,"Recall1","MSU"
"M20338998SM","fun","fun",2,"JOL","circle","Study1","M","Study Phase",5519,80,"Recall1","MSU"
"M20339166AP","shoes","fun",2,"JOL","circle","Study1","M","Study Phase",6294,0,"Recall1","MSU"
"M20346505_PC","round","fun",2,"JOL","circle","Study1","M","Study Phase",5141,19,"Recall1","MSU"
"M20348221MH","black","fun",2,"JOL","circle","Study1","M","Study Phase",22016,0,"Recall1","MSU"
"M20350230JMY","time","fun",2,"JOL","circle","Study1","M","Study Phase",3586,21,"Recall1","MSU"
"M20301852CE","","election",2,"JOL","crackle","Study1","U","Study Phase",4632,5,"Recall1","MSU"
"M20324226_AG","","election",2,"JOL","crackle","Study1","U","Study Phase",35997,55,"Recall1","MSU"
"M20338519CB","crack","election",2,"JOL","crackle","Study1","U","Study Phase",4329,1,"Recall1","MSU"
"M20338998SM","","election",2,"JOL","crackle","Study1","U","Study Phase",10266,0,"Recall1","MSU"
"M20339166AP","election ","election",2,"JOL","crackle","Study1","U","Study Phase",11573,0,"Recall1","MSU"
"M20346505_PC","red","election",2,"JOL","crackle","Study1","U","Study Phase",2449,0,"Recall1","MSU"
"M20348221MH","election","election",2,"JOL","crackle","Study1","U","Study Phase",7976,50,"Recall1","MSU"
"M20350230JMY","","election",2,"JOL","crackle","Study1","U","Study Phase",3626,43,"Recall1","MSU"
"M20301852CE","card","card",2,"JOL","credit","Study1","F","Study Phase",3807,90,"Recall1","MSU"
"M20324226_AG","card","card",2,"JOL","credit","Study1","F","Study Phase",4446,95,"Recall1","MSU"
"M20338519CB","card","card",2,"JOL","credit","Study1","F","Study Phase",3161,100,"Recall1","MSU"
"M20338998SM","card","card",2,"JOL","credit","Study1","F","Study Phase",2947,80,"Recall1","MSU"
"M20339166AP","card","card",2,"JOL","credit","Study1","F","Study Phase",5420,100,"Recall1","MSU"
"M20346505_PC","card","card",2,"JOL","credit","Study1","F","Study Phase",2903,100,"Recall1","MSU"
"M20348221MH","card","card",2,"JOL","credit","Study1","F","Study Phase",5732,80,"Recall1","MSU"
"M20350230JMY","card","card",2,"JOL","credit","Study1","F","Study Phase",7845,67,"Recall1","MSU"
"M20301852CE","","beer",2,"JOL","cry","Study1","M","Study Phase",2110,0,"Recall1","MSU"
"M20324226_AG","baby","beer",2,"JOL","cry","Study1","M","Study Phase",4133,80,"Recall1","MSU"
"M20338519CB","baby","beer",2,"JOL","cry","Study1","M","Study Phase",2493,11,"Recall1","MSU"
"M20338998SM","beer","beer",2,"JOL","cry","Study1","M","Study Phase",4516,70,"Recall1","MSU"
"M20339166AP","sad","beer",2,"JOL","cry","Study1","M","Study Phase",8799,50,"Recall1","MSU"
"M20346505_PC","sob","beer",2,"JOL","cry","Study1","M","Study Phase",2946,40,"Recall1","MSU"
"M20348221MH","bawl","beer",2,"JOL","cry","Study1","M","Study Phase",4903,45,"Recall1","MSU"
"M20350230JMY","","beer",2,"JOL","cry","Study1","M","Study Phase",5003,55,"Recall1","MSU"
"M20301852CE","","black",2,"JOL","day","Study1","M","Study Phase",2208,0,"Recall1","MSU"
"M20324226_AG","night","black",2,"JOL","day","Study1","M","Study Phase",3901,80,"Recall1","MSU"
"M20338519CB","weaks","black",2,"JOL","day","Study1","M","Study Phase",4676,11,"Recall1","MSU"
"M20338998SM","dark","black",2,"JOL","day","Study1","M","Study Phase",7857,10,"Recall1","MSU"
"M20339166AP","week","black",2,"JOL","day","Study1","M","Study Phase",9211,20,"Recall1","MSU"
"M20346505_PC","black","black",2,"JOL","day","Study1","M","Study Phase",2660,0,"Recall1","MSU"
"M20348221MH","night","black",2,"JOL","day","Study1","M","Study Phase",5913,30,"Recall1","MSU"
"M20350230JMY","dark","black",2,"JOL","day","Study1","M","Study Phase",3016,31,"Recall1","MSU"
"M20301852CE","","bang",2,"JOL","fuzzy","Study1","U","Study Phase",2119,0,"Recall1","MSU"
"M20324226_AG","hand","bang",2,"JOL","fuzzy","Study1","U","Study Phase",5270,65,"Recall1","MSU"
"M20338519CB","dog","bang",2,"JOL","fuzzy","Study1","U","Study Phase",3203,10,"Recall1","MSU"
"M20338998SM","bang","bang",2,"JOL","fuzzy","Study1","U","Study Phase",4939,30,"Recall1","MSU"
"M20339166AP","bang","bang",2,"JOL","fuzzy","Study1","U","Study Phase",13700,30,"Recall1","MSU"
"M20346505_PC","deer","bang",2,"JOL","fuzzy","Study1","U","Study Phase",3372,30,"Recall1","MSU"
"M20348221MH","hair","bang",2,"JOL","fuzzy","Study1","U","Study Phase",4853,35,"Recall1","MSU"
"M20350230JMY","bear","bang",2,"JOL","fuzzy","Study1","U","Study Phase",8249,33,"Recall1","MSU"
"M20301852CE","","steak",2,"JOL","give","Study1","U","Study Phase",5883,0,"Recall1","MSU"
"M20324226_AG","take","steak",2,"JOL","give","Study1","U","Study Phase",3437,80,"Recall1","MSU"
"M20338519CB","take","steak",2,"JOL","give","Study1","U","Study Phase",4585,34,"Recall1","MSU"
"M20338998SM","","steak",2,"JOL","give","Study1","U","Study Phase",6216,0,"Recall1","MSU"
"M20339166AP","take","steak",2,"JOL","give","Study1","U","Study Phase",12248,25,"Recall1","MSU"
"M20346505_PC","care","steak",2,"JOL","give","Study1","U","Study Phase",2398,0,"Recall1","MSU"
"M20348221MH","happy","steak",2,"JOL","give","Study1","U","Study Phase",4663,30,"Recall1","MSU"
"M20350230JMY","take","steak",2,"JOL","give","Study1","U","Study Phase",4542,54,"Recall1","MSU"
"M20301852CE","","ball",2,"JOL","hard","Study1","M","Study Phase",5670,5,"Recall1","MSU"
"M20324226_AG","ball","ball",2,"JOL","hard","Study1","M","Study Phase",3037,80,"Recall1","MSU"
"M20338519CB","ball","ball",2,"JOL","hard","Study1","M","Study Phase",4683,98,"Recall1","MSU"
"M20338998SM","ball","ball",2,"JOL","hard","Study1","M","Study Phase",7391,80,"Recall1","MSU"
"M20339166AP","ball","ball",2,"JOL","hard","Study1","M","Study Phase",13395,80,"Recall1","MSU"
"M20346505_PC","move","ball",2,"JOL","hard","Study1","M","Study Phase",3613,12,"Recall1","MSU"
"M20348221MH","work","ball",2,"JOL","hard","Study1","M","Study Phase",4807,20,"Recall1","MSU"
"M20350230JMY","ball","ball",2,"JOL","hard","Study1","M","Study Phase",5717,87,"Recall1","MSU"
"M20301852CE","cow","tire",2,"JOL","horse","Study1","M","Study Phase",6528,0,"Recall1","MSU"
"M20324226_AG","","tire",2,"JOL","horse","Study1","M","Study Phase",3986,70,"Recall1","MSU"
"M20338519CB","cake","tire",2,"JOL","horse","Study1","M","Study Phase",3521,17,"Recall1","MSU"
"M20338998SM","tire","tire",2,"JOL","horse","Study1","M","Study Phase",62716,50,"Recall1","MSU"
"M20339166AP","donkey","tire",2,"JOL","horse","Study1","M","Study Phase",35645,20,"Recall1","MSU"
"M20346505_PC","donkey","tire",2,"JOL","horse","Study1","M","Study Phase",2101,0,"Recall1","MSU"
"M20348221MH","mule","tire",2,"JOL","horse","Study1","M","Study Phase",3885,0,"Recall1","MSU"
"M20350230JMY","","tire",2,"JOL","horse","Study1","M","Study Phase",3378,23,"Recall1","MSU"
"M20301852CE","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",3046,80,"Recall1","MSU"
"M20324226_AG","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",2841,90,"Recall1","MSU"
"M20338519CB","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",3965,90,"Recall1","MSU"
"M20338998SM","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",7241,75,"Recall1","MSU"
"M20339166AP","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",7540,95,"Recall1","MSU"
"M20346505_PC","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",7393,68,"Recall1","MSU"
"M20348221MH","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",3060,100,"Recall1","MSU"
"M20350230JMY","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",1515,65,"Recall1","MSU"
"M20301852CE","car","rod",2,"JOL","keys","Study1","U","Study Phase",2120,0,"Recall1","MSU"
"M20324226_AG","","rod",2,"JOL","keys","Study1","U","Study Phase",4482,70,"Recall1","MSU"
"M20338519CB","door","rod",2,"JOL","keys","Study1","U","Study Phase",2856,12,"Recall1","MSU"
"M20338998SM","meat","rod",2,"JOL","keys","Study1","U","Study Phase",32974,20,"Recall1","MSU"
"M20339166AP","microwave ","rod",2,"JOL","keys","Study1","U","Study Phase",7445,0,"Recall1","MSU"
"M20346505_PC","meat","rod",2,"JOL","keys","Study1","U","Study Phase",4583,8,"Recall1","MSU"
"M20348221MH","car","rod",2,"JOL","keys","Study1","U","Study Phase",2513,0,"Recall1","MSU"
"M20350230JMY","","rod",2,"JOL","keys","Study1","U","Study Phase",2649,12,"Recall1","MSU"
"M20301852CE","","flag",2,"JOL","lion","Study1","M","Study Phase",2940,10,"Recall1","MSU"
"M20324226_AG","","flag",2,"JOL","lion","Study1","M","Study Phase",4611,70,"Recall1","MSU"
"M20338519CB","hot","flag",2,"JOL","lion","Study1","M","Study Phase",3041,56,"Recall1","MSU"
"M20338998SM","","flag",2,"JOL","lion","Study1","M","Study Phase",6617,10,"Recall1","MSU"
"M20339166AP","flag","flag",2,"JOL","lion","Study1","M","Study Phase",16875,0,"Recall1","MSU"
"M20346505_PC","soft","flag",2,"JOL","lion","Study1","M","Study Phase",2702,12,"Recall1","MSU"
"M20348221MH","king","flag",2,"JOL","lion","Study1","M","Study Phase",4298,20,"Recall1","MSU"
"M20350230JMY","flag","flag",2,"JOL","lion","Study1","M","Study Phase",4723,10,"Recall1","MSU"
"M20301852CE","","fiction",2,"JOL","listen","Study1","U","Study Phase",6055,50,"Recall1","MSU"
"M20324226_AG","","fiction",2,"JOL","listen","Study1","U","Study Phase",2966,75,"Recall1","MSU"
"M20338519CB","here","fiction",2,"JOL","listen","Study1","U","Study Phase",2275,7,"Recall1","MSU"
"M20338998SM","loud","fiction",2,"JOL","listen","Study1","U","Study Phase",18598,60,"Recall1","MSU"
"M20339166AP","teacher","fiction",2,"JOL","listen","Study1","U","Study Phase",17579,25,"Recall1","MSU"
"M20346505_PC","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",4364,45,"Recall1","MSU"
"M20348221MH","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",4185,30,"Recall1","MSU"
"M20350230JMY","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",3749,32,"Recall1","MSU"
"M20301852CE","trash","trash",2,"JOL","litter","Study1","F","Study Phase",3129,70,"Recall1","MSU"
"M20324226_AG","trash","trash",2,"JOL","litter","Study1","F","Study Phase",5016,70,"Recall1","MSU"
"M20338519CB","box","trash",2,"JOL","litter","Study1","F","Study Phase",4548,23,"Recall1","MSU"
"M20338998SM","trash","trash",2,"JOL","litter","Study1","F","Study Phase",6773,80,"Recall1","MSU"
"M20339166AP","trash","trash",2,"JOL","litter","Study1","F","Study Phase",5806,90,"Recall1","MSU"
"M20346505_PC","cat","trash",2,"JOL","litter","Study1","F","Study Phase",3642,94,"Recall1","MSU"
"M20348221MH","trash","trash",2,"JOL","litter","Study1","F","Study Phase",3008,80,"Recall1","MSU"
"M20350230JMY","trash","trash",2,"JOL","litter","Study1","F","Study Phase",4818,76,"Recall1","MSU"
"M20301852CE","","phone",2,"JOL","maze","Study1","U","Study Phase",7311,5,"Recall1","MSU"
"M20324226_AG","","phone",2,"JOL","maze","Study1","U","Study Phase",3132,50,"Recall1","MSU"
"M20338519CB","runner","phone",2,"JOL","maze","Study1","U","Study Phase",3508,0,"Recall1","MSU"
"M20338998SM","phone","phone",2,"JOL","maze","Study1","U","Study Phase",6439,50,"Recall1","MSU"
"M20339166AP","phone","phone",2,"JOL","maze","Study1","U","Study Phase",9051,10,"Recall1","MSU"
"M20346505_PC","bush","phone",2,"JOL","maze","Study1","U","Study Phase",4363,3,"Recall1","MSU"
"M20348221MH","corn","phone",2,"JOL","maze","Study1","U","Study Phase",3739,10,"Recall1","MSU"
"M20350230JMY","","phone",2,"JOL","maze","Study1","U","Study Phase",5015,9,"Recall1","MSU"
"M20301852CE","","keys",2,"JOL","meat","Study1","U","Study Phase",2479,0,"Recall1","MSU"
"M20324226_AG","","keys",2,"JOL","meat","Study1","U","Study Phase",46994,70,"Recall1","MSU"
"M20338519CB","ball","keys",2,"JOL","meat","Study1","U","Study Phase",4965,19,"Recall1","MSU"
"M20338998SM","key","keys",2,"JOL","meat","Study1","U","Study Phase",16138,20,"Recall1","MSU"
"M20339166AP","give","keys",2,"JOL","meat","Study1","U","Study Phase",7351,0,"Recall1","MSU"
"M20346505_PC","key","keys",2,"JOL","meat","Study1","U","Study Phase",1989,0,"Recall1","MSU"
"M20348221MH","cow","keys",2,"JOL","meat","Study1","U","Study Phase",6709,0,"Recall1","MSU"
"M20350230JMY","shake","keys",2,"JOL","meat","Study1","U","Study Phase",4163,21,"Recall1","MSU"
"M20301852CE","marron","maroon",2,"JOL","mirror","Study1","U","Study Phase",11014,10,"Recall1","MSU"
"M20324226_AG","maroon","maroon",2,"JOL","mirror","Study1","U","Study Phase",4192,60,"Recall1","MSU"
"M20338519CB","maze","maroon",2,"JOL","mirror","Study1","U","Study Phase",5340,78,"Recall1","MSU"
"M20338998SM","maroon","maroon",2,"JOL","mirror","Study1","U","Study Phase",6270,80,"Recall1","MSU"
"M20339166AP","mustang","maroon",2,"JOL","mirror","Study1","U","Study Phase",13773,10,"Recall1","MSU"
"M20346505_PC","maroon","maroon",2,"JOL","mirror","Study1","U","Study Phase",1907,0,"Recall1","MSU"
"M20348221MH","","maroon",2,"JOL","mirror","Study1","U","Study Phase",3297,0,"Recall1","MSU"
"M20350230JMY","","maroon",2,"JOL","mirror","Study1","U","Study Phase",3650,12,"Recall1","MSU"
"M20301852CE","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",5598,50,"Recall1","MSU"
"M20301852CE","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",4382,80,"Recall1","MSU"
"M20324226_AG","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",4637,65,"Recall1","MSU"
"M20324226_AG","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",5431,80,"Recall1","MSU"
"M20338519CB","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",3834,59,"Recall1","MSU"
"M20338519CB","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",6623,80,"Recall1","MSU"
"M20338998SM","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",5402,60,"Recall1","MSU"
"M20338998SM","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",8301,50,"Recall1","MSU"
"M20339166AP","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",6418,60,"Recall1","MSU"
"M20339166AP","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",5387,90,"Recall1","MSU"
"M20346505_PC","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",7047,31,"Recall1","MSU"
"M20346505_PC","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",6627,50,"Recall1","MSU"
"M20348221MH","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",4991,50,"Recall1","MSU"
"M20348221MH","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",3400,100,"Recall1","MSU"
"M20350230JMY","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",6041,62,"Recall1","MSU"
"M20350230JMY","donkey","donkey",2,"JOL","mule","Study1","F","Study Phase",5358,54,"Recall1","MSU"
"M20301852CE","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",2251,80,"Recall1","MSU"
"M20324226_AG","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",4503,95,"Recall1","MSU"
"M20338519CB","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",2673,100,"Recall1","MSU"
"M20338998SM","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",2639,70,"Recall1","MSU"
"M20339166AP","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",5250,95,"Recall1","MSU"
"M20346505_PC","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",2869,90,"Recall1","MSU"
"M20348221MH","sleep","sleep",2,"JOL","nap","Study1","F","Study Phase",3797,80,"Recall1","MSU"
"M20350230JMY","time","sleep",2,"JOL","nap","Study1","F","Study Phase",4845,89,"Recall1","MSU"
"M20301852CE","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",4663,60,"Recall1","MSU"
"M20324226_AG","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",6658,60,"Recall1","MSU"
"M20338519CB","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",4537,80,"Recall1","MSU"
"M20338998SM","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",6815,70,"Recall1","MSU"
"M20339166AP","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",10103,40,"Recall1","MSU"
"M20346505_PC","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",2681,80,"Recall1","MSU"
"M20348221MH","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",5312,40,"Recall1","MSU"
"M20350230JMY","flower","flower",2,"JOL","orchid","Study1","F","Study Phase",3408,66,"Recall1","MSU"
"M20301852CE","plant","plant",2,"JOL","root","Study1","F","Study Phase",2688,50,"Recall1","MSU"
"M20324226_AG","plant","plant",2,"JOL","root","Study1","F","Study Phase",4134,85,"Recall1","MSU"
"M20338519CB","beer","plant",2,"JOL","root","Study1","F","Study Phase",4161,38,"Recall1","MSU"
"M20338998SM","plant","plant",2,"JOL","root","Study1","F","Study Phase",4676,70,"Recall1","MSU"
"M20339166AP","beer","plant",2,"JOL","root","Study1","F","Study Phase",7042,80,"Recall1","MSU"
"M20346505_PC","plant","plant",2,"JOL","root","Study1","F","Study Phase",5391,79,"Recall1","MSU"
"M20348221MH","plant","plant",2,"JOL","root","Study1","F","Study Phase",2556,60,"Recall1","MSU"
"M20350230JMY","tree","plant",2,"JOL","root","Study1","F","Study Phase",3823,56,"Recall1","MSU"
"M20301852CE","","worm",2,"JOL","rough","Study1","M","Study Phase",1638,0,"Recall1","MSU"
"M20324226_AG","hand","worm",2,"JOL","rough","Study1","M","Study Phase",3196,60,"Recall1","MSU"
"M20338519CB","year","worm",2,"JOL","rough","Study1","M","Study Phase",5022,6,"Recall1","MSU"
"M20338998SM","worm","worm",2,"JOL","rough","Study1","M","Study Phase",5604,30,"Recall1","MSU"
"M20339166AP","worm","worm",2,"JOL","rough","Study1","M","Study Phase",15491,20,"Recall1","MSU"
"M20346505_PC","smooth","worm",2,"JOL","rough","Study1","M","Study Phase",4021,10,"Recall1","MSU"
"M20348221MH","day","worm",2,"JOL","rough","Study1","M","Study Phase",3580,20,"Recall1","MSU"
"M20350230JMY","tuff","worm",2,"JOL","rough","Study1","M","Study Phase",5059,31,"Recall1","MSU"
"M20301852CE","head","head",2,"JOL","scalp","Study1","F","Study Phase",4762,80,"Recall1","MSU"
"M20324226_AG","head","head",2,"JOL","scalp","Study1","F","Study Phase",3299,90,"Recall1","MSU"
"M20338519CB","head","head",2,"JOL","scalp","Study1","F","Study Phase",3892,90,"Recall1","MSU"
"M20338998SM","head","head",2,"JOL","scalp","Study1","F","Study Phase",4619,50,"Recall1","MSU"
"M20339166AP","head","head",2,"JOL","scalp","Study1","F","Study Phase",6912,80,"Recall1","MSU"
"M20346505_PC","head","head",2,"JOL","scalp","Study1","F","Study Phase",2676,89,"Recall1","MSU"
"M20348221MH","massage","head",2,"JOL","scalp","Study1","F","Study Phase",2800,70,"Recall1","MSU"
"M20350230JMY","hair","head",2,"JOL","scalp","Study1","F","Study Phase",4090,98,"Recall1","MSU"
"M20301852CE","sh","shake",2,"JOL","shell","Study1","U","Study Phase",3905,30,"Recall1","MSU"
"M20324226_AG","shock","shake",2,"JOL","shell","Study1","U","Study Phase",3661,65,"Recall1","MSU"
"M20338519CB","shack","shake",2,"JOL","shell","Study1","U","Study Phase",4506,5,"Recall1","MSU"
"M20338998SM","shake","shake",2,"JOL","shell","Study1","U","Study Phase",5268,70,"Recall1","MSU"
"M20339166AP","shake","shake",2,"JOL","shell","Study1","U","Study Phase",13823,40,"Recall1","MSU"
"M20346505_PC","free","shake",2,"JOL","shell","Study1","U","Study Phase",3071,0,"Recall1","MSU"
"M20348221MH","fish","shake",2,"JOL","shell","Study1","U","Study Phase",19066,10,"Recall1","MSU"
"M20350230JMY","shock","shake",2,"JOL","shell","Study1","U","Study Phase",2932,22,"Recall1","MSU"
"M20301852CE","","tick",2,"JOL","sign","Study1","U","Study Phase",6927,2,"Recall1","MSU"
"M20324226_AG","","tick",2,"JOL","sign","Study1","U","Study Phase",3361,70,"Recall1","MSU"
"M20338519CB","paper","tick",2,"JOL","sign","Study1","U","Study Phase",4364,0,"Recall1","MSU"
"M20338998SM","","tick",2,"JOL","sign","Study1","U","Study Phase",8841,40,"Recall1","MSU"
"M20339166AP","road","tick",2,"JOL","sign","Study1","U","Study Phase",7177,10,"Recall1","MSU"
"M20346505_PC","check","tick",2,"JOL","sign","Study1","U","Study Phase",4770,10,"Recall1","MSU"
"M20348221MH","torch","tick",2,"JOL","sign","Study1","U","Study Phase",3110,0,"Recall1","MSU"
"M20350230JMY","","tick",2,"JOL","sign","Study1","U","Study Phase",6240,18,"Recall1","MSU"
"M20301852CE","drink","drink",2,"JOL","sip","Study1","F","Study Phase",2256,70,"Recall1","MSU"
"M20324226_AG","drink","drink",2,"JOL","sip","Study1","F","Study Phase",6123,95,"Recall1","MSU"
"M20338519CB","drinks","drink",2,"JOL","sip","Study1","F","Study Phase",3757,98,"Recall1","MSU"
"M20338998SM","drink","drink",2,"JOL","sip","Study1","F","Study Phase",3151,70,"Recall1","MSU"
"M20339166AP","drink","drink",2,"JOL","sip","Study1","F","Study Phase",7082,95,"Recall1","MSU"
"M20346505_PC","drink","drink",2,"JOL","sip","Study1","F","Study Phase",4762,99,"Recall1","MSU"
"M20348221MH","drink","drink",2,"JOL","sip","Study1","F","Study Phase",6897,20,"Recall1","MSU"
