"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"M20278234LVG","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",3054,"Recall1","MSU"
"M20316504APG","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",6508,"Recall1","MSU"
"M20320231_MMS","oral","clean",1,"Read","hygiene","Study1","F","Study Phase",2792,"Recall1","MSU"
"M20333893_HRR","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1883,"Recall1","MSU"
"M20333927NNN","shower","clean",1,"Read","hygiene","Study1","F","Study Phase",1322,"Recall1","MSU"
"M20342347","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",2486,"Recall1","MSU"
"m20344614_tmw","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1048,"Recall1","MSU"
"20337845D.A.","chain","rod",1,"Read","keys","Study1","U","Study Phase",1806,"Recall1","MSU"
"M20278234LVG","jingle","rod",1,"Read","keys","Study1","U","Study Phase",2790,"Recall1","MSU"
"M20316504APG","","rod",1,"Read","keys","Study1","U","Study Phase",6016,"Recall1","MSU"
"M20320231_MMS","pole","rod",1,"Read","keys","Study1","U","Study Phase",2380,"Recall1","MSU"
"M20333893_HRR","hand","rod",1,"Read","keys","Study1","U","Study Phase",3282,"Recall1","MSU"
"M20333927NNN","car","rod",1,"Read","keys","Study1","U","Study Phase",1296,"Recall1","MSU"
"M20342347","car","rod",1,"Read","keys","Study1","U","Study Phase",2717,"Recall1","MSU"
"m20344614_tmw","car","rod",1,"Read","keys","Study1","U","Study Phase",1732,"Recall1","MSU"
"20337845D.A.","predator","flag",1,"Read","lion","Study1","M","Study Phase",1203,"Recall1","MSU"
"M20278234LVG","keys","flag",1,"Read","lion","Study1","M","Study Phase",3901,"Recall1","MSU"
"M20316504APG","picture","flag",1,"Read","lion","Study1","M","Study Phase",5460,"Recall1","MSU"
"M20320231_MMS","what","flag",1,"Read","lion","Study1","M","Study Phase",1425,"Recall1","MSU"
"M20333893_HRR","sign","flag",1,"Read","lion","Study1","M","Study Phase",2170,"Recall1","MSU"
"M20333927NNN","zoo","flag",1,"Read","lion","Study1","M","Study Phase",2097,"Recall1","MSU"
"M20342347","bear","flag",1,"Read","lion","Study1","M","Study Phase",2883,"Recall1","MSU"
"m20344614_tmw","love","flag",1,"Read","lion","Study1","M","Study Phase",1609,"Recall1","MSU"
"20337845D.A.","heard","fiction",1,"Read","listen","Study1","U","Study Phase",2018,"Recall1","MSU"
"M20278234LVG","hearing","fiction",1,"Read","listen","Study1","U","Study Phase",3412,"Recall1","MSU"
"M20316504APG","","fiction",1,"Read","listen","Study1","U","Study Phase",5739,"Recall1","MSU"
"M20320231_MMS","nope","fiction",1,"Read","listen","Study1","U","Study Phase",11241,"Recall1","MSU"
"M20333893_HRR","","fiction",1,"Read","listen","Study1","U","Study Phase",1867,"Recall1","MSU"
"M20333927NNN","hear","fiction",1,"Read","listen","Study1","U","Study Phase",2677,"Recall1","MSU"
"M20342347","speak","fiction",1,"Read","listen","Study1","U","Study Phase",2010,"Recall1","MSU"
"m20344614_tmw","talk","fiction",1,"Read","listen","Study1","U","Study Phase",1321,"Recall1","MSU"
"20337845D.A.","box","trash",1,"Read","litter","Study1","F","Study Phase",936,"Recall1","MSU"
"M20278234LVG","trash","trash",1,"Read","litter","Study1","F","Study Phase",3160,"Recall1","MSU"
"M20316504APG","trash","trash",1,"Read","litter","Study1","F","Study Phase",5685,"Recall1","MSU"
"M20320231_MMS","trash","trash",1,"Read","litter","Study1","F","Study Phase",3209,"Recall1","MSU"
"M20333893_HRR","","trash",1,"Read","litter","Study1","F","Study Phase",2066,"Recall1","MSU"
"M20333927NNN","cat","trash",1,"Read","litter","Study1","F","Study Phase",1598,"Recall1","MSU"
"M20342347","bitter","trash",1,"Read","litter","Study1","F","Study Phase",1486,"Recall1","MSU"
"m20344614_tmw","trash","trash",1,"Read","litter","Study1","F","Study Phase",1707,"Recall1","MSU"
"20337845D.A.","lost","phone",1,"Read","maze","Study1","U","Study Phase",1409,"Recall1","MSU"
"M20278234LVG","corn","phone",1,"Read","maze","Study1","U","Study Phase",3500,"Recall1","MSU"
"M20316504APG","phones","phone",1,"Read","maze","Study1","U","Study Phase",7353,"Recall1","MSU"
"M20320231_MMS","phone","phone",1,"Read","maze","Study1","U","Study Phase",3987,"Recall1","MSU"
"M20333893_HRR","phone","phone",1,"Read","maze","Study1","U","Study Phase",2803,"Recall1","MSU"
"M20333927NNN","phone","phone",1,"Read","maze","Study1","U","Study Phase",1379,"Recall1","MSU"
"M20342347","run","phone",1,"Read","maze","Study1","U","Study Phase",8847,"Recall1","MSU"
"m20344614_tmw","trap","phone",1,"Read","maze","Study1","U","Study Phase",1000,"Recall1","MSU"
"20337845D.A.","eat","keys",1,"Read","meat","Study1","U","Study Phase",831,"Recall1","MSU"
"M20278234LVG","","keys",1,"Read","meat","Study1","U","Study Phase",5316,"Recall1","MSU"
"M20316504APG","","keys",1,"Read","meat","Study1","U","Study Phase",7484,"Recall1","MSU"
"M20320231_MMS","keys","keys",1,"Read","meat","Study1","U","Study Phase",3036,"Recall1","MSU"
"M20333893_HRR","keys","keys",1,"Read","meat","Study1","U","Study Phase",2247,"Recall1","MSU"
"M20333927NNN","raw","keys",1,"Read","meat","Study1","U","Study Phase",1130,"Recall1","MSU"
"M20342347","cook","keys",1,"Read","meat","Study1","U","Study Phase",3463,"Recall1","MSU"
"m20344614_tmw","sign","keys",1,"Read","meat","Study1","U","Study Phase",1519,"Recall1","MSU"
"20337845D.A.","reflection","maroon",1,"Read","mirror","Study1","U","Study Phase",31372,"Recall1","MSU"
"M20278234LVG","maroon","maroon",1,"Read","mirror","Study1","U","Study Phase",3938,"Recall1","MSU"
"M20316504APG","maroon","maroon",1,"Read","mirror","Study1","U","Study Phase",5658,"Recall1","MSU"
"M20320231_MMS","maroon","maroon",1,"Read","mirror","Study1","U","Study Phase",4658,"Recall1","MSU"
"M20333893_HRR","","maroon",1,"Read","mirror","Study1","U","Study Phase",3128,"Recall1","MSU"
"M20333927NNN","gaze","maroon",1,"Read","mirror","Study1","U","Study Phase",1333,"Recall1","MSU"
"M20342347","car","maroon",1,"Read","mirror","Study1","U","Study Phase",7285,"Recall1","MSU"
"m20344614_tmw","store","maroon",1,"Read","mirror","Study1","U","Study Phase",1261,"Recall1","MSU"
"20337845D.A.","horse","donkey",1,"Read","mule","Study1","F","Study Phase",1258,"Recall1","MSU"
"20337845D.A.","ride","donkey",1,"Read","mule","Study1","F","Study Phase",986,"Recall1","MSU"
"M20278234LVG","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",6381,"Recall1","MSU"
"M20278234LVG","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",4143,"Recall1","MSU"
"M20316504APG","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",5745,"Recall1","MSU"
"M20316504APG","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",5314,"Recall1","MSU"
"M20320231_MMS","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",3024,"Recall1","MSU"
"M20320231_MMS","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",4002,"Recall1","MSU"
"M20333893_HRR","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",2026,"Recall1","MSU"
"M20333893_HRR","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",1512,"Recall1","MSU"
"M20333927NNN","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",1733,"Recall1","MSU"
"M20333927NNN","horse","donkey",1,"Read","mule","Study1","F","Study Phase",1024,"Recall1","MSU"
"M20342347","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",1333,"Recall1","MSU"
"M20342347","donkey","donkey",1,"Read","mule","Study1","F","Study Phase",1331,"Recall1","MSU"
"m20344614_tmw","keys","donkey",1,"Read","mule","Study1","F","Study Phase",1814,"Recall1","MSU"
"m20344614_tmw","keys","donkey",1,"Read","mule","Study1","F","Study Phase",2382,"Recall1","MSU"
"20337845D.A.","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",1263,"Recall1","MSU"
"M20278234LVG","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",4497,"Recall1","MSU"
"M20316504APG","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",1997,"Recall1","MSU"
"M20320231_MMS","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",4689,"Recall1","MSU"
"M20333893_HRR","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",7637,"Recall1","MSU"
"M20333927NNN","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",1494,"Recall1","MSU"
"M20342347","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",2642,"Recall1","MSU"
"m20344614_tmw","sleep","sleep",1,"Read","nap","Study1","F","Study Phase",1038,"Recall1","MSU"
"20337845D.A.","idk","flower",1,"Read","orchid","Study1","F","Study Phase",837,"Recall1","MSU"
"M20278234LVG","flower","flower",1,"Read","orchid","Study1","F","Study Phase",4640,"Recall1","MSU"
"M20316504APG","flower","flower",1,"Read","orchid","Study1","F","Study Phase",5646,"Recall1","MSU"
"M20320231_MMS","flower","flower",1,"Read","orchid","Study1","F","Study Phase",41819,"Recall1","MSU"
"M20333893_HRR","flower","flower",1,"Read","orchid","Study1","F","Study Phase",1638,"Recall1","MSU"
"M20333927NNN","flower","flower",1,"Read","orchid","Study1","F","Study Phase",2490,"Recall1","MSU"
"M20342347","flower","flower",1,"Read","orchid","Study1","F","Study Phase",1955,"Recall1","MSU"
"m20344614_tmw","bird","flower",1,"Read","orchid","Study1","F","Study Phase",2143,"Recall1","MSU"
"20337845D.A.","tree","plant",1,"Read","root","Study1","F","Study Phase",1408,"Recall1","MSU"
"M20278234LVG","beer","plant",1,"Read","root","Study1","F","Study Phase",2946,"Recall1","MSU"
"M20316504APG","","plant",1,"Read","root","Study1","F","Study Phase",6911,"Recall1","MSU"
"M20320231_MMS","plant","plant",1,"Read","root","Study1","F","Study Phase",3131,"Recall1","MSU"
"M20333893_HRR","plant","plant",1,"Read","root","Study1","F","Study Phase",1842,"Recall1","MSU"
"M20333927NNN","tree","plant",1,"Read","root","Study1","F","Study Phase",1191,"Recall1","MSU"
"M20342347","","plant",1,"Read","root","Study1","F","Study Phase",1992,"Recall1","MSU"
"m20344614_tmw","word","plant",1,"Read","root","Study1","F","Study Phase",1327,"Recall1","MSU"
"20337845D.A.","soft","worm",1,"Read","rough","Study1","M","Study Phase",1612,"Recall1","MSU"
"M20278234LVG","","worm",1,"Read","rough","Study1","M","Study Phase",3081,"Recall1","MSU"
"M20316504APG","","worm",1,"Read","rough","Study1","M","Study Phase",9704,"Recall1","MSU"
"M20320231_MMS","skin","worm",1,"Read","rough","Study1","M","Study Phase",4172,"Recall1","MSU"
"M20333893_HRR","","worm",1,"Read","rough","Study1","M","Study Phase",1840,"Recall1","MSU"
"M20333927NNN","tough","worm",1,"Read","rough","Study1","M","Study Phase",1498,"Recall1","MSU"
"M20342347","mark","worm",1,"Read","rough","Study1","M","Study Phase",4999,"Recall1","MSU"
"m20344614_tmw","fight","worm",1,"Read","rough","Study1","M","Study Phase",2277,"Recall1","MSU"
"20337845D.A.","head","head",1,"Read","scalp","Study1","F","Study Phase",1311,"Recall1","MSU"
"M20278234LVG","head","head",1,"Read","scalp","Study1","F","Study Phase",2217,"Recall1","MSU"
"M20316504APG","head","head",1,"Read","scalp","Study1","F","Study Phase",6165,"Recall1","MSU"
"M20320231_MMS","head","head",1,"Read","scalp","Study1","F","Study Phase",4081,"Recall1","MSU"
"M20333893_HRR","head","head",1,"Read","scalp","Study1","F","Study Phase",1559,"Recall1","MSU"
"M20333927NNN","root","head",1,"Read","scalp","Study1","F","Study Phase",1208,"Recall1","MSU"
"M20342347","head","head",1,"Read","scalp","Study1","F","Study Phase",4672,"Recall1","MSU"
"m20344614_tmw","hair","head",1,"Read","scalp","Study1","F","Study Phase",1381,"Recall1","MSU"
"20337845D.A.","idk","shake",1,"Read","shell","Study1","U","Study Phase",1339,"Recall1","MSU"
"M20278234LVG","shake","shake",1,"Read","shell","Study1","U","Study Phase",2910,"Recall1","MSU"
"M20316504APG","shake","shake",1,"Read","shell","Study1","U","Study Phase",5679,"Recall1","MSU"
"M20320231_MMS","shake","shake",1,"Read","shell","Study1","U","Study Phase",8535,"Recall1","MSU"
"M20333893_HRR","shake","shake",1,"Read","shell","Study1","U","Study Phase",2180,"Recall1","MSU"
"M20333927NNN","sea","shake",1,"Read","shell","Study1","U","Study Phase",2818,"Recall1","MSU"
"M20342347","see","shake",1,"Read","shell","Study1","U","Study Phase",1095,"Recall1","MSU"
"m20344614_tmw","fish","shake",1,"Read","shell","Study1","U","Study Phase",1230,"Recall1","MSU"
"20337845D.A.","pen","tick",1,"Read","sign","Study1","U","Study Phase",1628,"Recall1","MSU"
"M20278234LVG","language","tick",1,"Read","sign","Study1","U","Study Phase",5733,"Recall1","MSU"
"M20316504APG","","tick",1,"Read","sign","Study1","U","Study Phase",6706,"Recall1","MSU"
"M20320231_MMS","root","tick",1,"Read","sign","Study1","U","Study Phase",2134,"Recall1","MSU"
"M20333893_HRR","","tick",1,"Read","sign","Study1","U","Study Phase",1812,"Recall1","MSU"
"M20333927NNN","tax","tick",1,"Read","sign","Study1","U","Study Phase",1223,"Recall1","MSU"
"M20342347","stop","tick",1,"Read","sign","Study1","U","Study Phase",3170,"Recall1","MSU"
"m20344614_tmw","stop","tick",1,"Read","sign","Study1","U","Study Phase",885,"Recall1","MSU"
"20337845D.A.","drink","drink",1,"Read","sip","Study1","F","Study Phase",1475,"Recall1","MSU"
"M20278234LVG","drink","drink",1,"Read","sip","Study1","F","Study Phase",5095,"Recall1","MSU"
"M20316504APG","drink","drink",1,"Read","sip","Study1","F","Study Phase",2711,"Recall1","MSU"
"M20320231_MMS","drink","drink",1,"Read","sip","Study1","F","Study Phase",3272,"Recall1","MSU"
"M20333893_HRR","drink","drink",1,"Read","sip","Study1","F","Study Phase",1613,"Recall1","MSU"
"M20333927NNN","drink","drink",1,"Read","sip","Study1","F","Study Phase",1862,"Recall1","MSU"
"M20342347","tea","drink",1,"Read","sip","Study1","F","Study Phase",2033,"Recall1","MSU"
"m20344614_tmw","drink","drink",1,"Read","sip","Study1","F","Study Phase",1558,"Recall1","MSU"
"20337845D.A.","never","belt",1,"Read","soon","Study1","U","Study Phase",1329,"Recall1","MSU"
"M20278234LVG","","belt",1,"Read","soon","Study1","U","Study Phase",3321,"Recall1","MSU"
"M20316504APG","","belt",1,"Read","soon","Study1","U","Study Phase",5798,"Recall1","MSU"
"M20320231_MMS","nope\","belt",1,"Read","soon","Study1","U","Study Phase",2171,"Recall1","MSU"
"M20333893_HRR","","belt",1,"Read","soon","Study1","U","Study Phase",2963,"Recall1","MSU"
"M20333927NNN","later","belt",1,"Read","soon","Study1","U","Study Phase",1354,"Recall1","MSU"
"M20342347","gone","belt",1,"Read","soon","Study1","U","Study Phase",937,"Recall1","MSU"
"m20344614_tmw","leave","belt",1,"Read","soon","Study1","U","Study Phase",1147,"Recall1","MSU"
"20337845D.A.","flec","cloth",1,"Read","stretch","Study1","U","Study Phase",1382,"Recall1","MSU"
"M20278234LVG","","cloth",1,"Read","stretch","Study1","U","Study Phase",3330,"Recall1","MSU"
"M20316504APG","","cloth",1,"Read","stretch","Study1","U","Study Phase",8053,"Recall1","MSU"
"M20320231_MMS","cloth","cloth",1,"Read","stretch","Study1","U","Study Phase",5554,"Recall1","MSU"
