"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Procedure.Shuffle.1","Response.RT"
"w10180617_ckc","hop","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",7010
"w10186913_mnr","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",6034
"w10187622_dab","room","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",2223
"W10193555-lhc","catch","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",6826
"W791354JJ","house","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",4749
"10170473MP","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",890
"w10075447KJ","card","beach",1,"Read","box","Study1","M","Study Phase","Recall1",2776
"w10080067GH","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",2796
"w10086872RB","cereal","beach",1,"Read","box","Study1","M","Study Phase","Recall1",5207
"w10089688_jp","bleach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",49009
"W10097113_SML","square","beach",1,"Read","box","Study1","M","Study Phase","Recall1",10363
"w10126861SES","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",340
"w10131605TS","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",1307
"w10134028","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",5888
"w10136835_VEH","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",1364
"w10137210_zr","cut","beach",1,"Read","box","Study1","M","Study Phase","Recall1",3602
"w10137367_mpc","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",10704
"w10139896_iro","close","beach",1,"Read","box","Study1","M","Study Phase","Recall1",9589
"w10141663MH","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",8686
"w10142111_AGS","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",24845
"w10158214_AL","circle","beach",1,"Read","box","Study1","M","Study Phase","Recall1",12099
"w10158561PR","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",935
"w10163667_kg","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",14574
"w10170329_cm","square","beach",1,"Read","box","Study1","M","Study Phase","Recall1",7150
"w10170428_RG","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",4603
"w10171031","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",6307
"w10173870_tab","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",3729
"w10175512_hmr","","beach",1,"Read","box","Study1","M","Study Phase","Recall1",1283
"w10179887cgs","square","beach",1,"Read","box","Study1","M","Study Phase","Recall1",12447
"w10180613_ajt","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",8881
"w10180617_ckc","ship","beach",1,"Read","box","Study1","M","Study Phase","Recall1",6915
"w10186913_mnr","beach","beach",1,"Read","box","Study1","M","Study Phase","Recall1",5780
"w10187622_dab","office","beach",1,"Read","box","Study1","M","Study Phase","Recall1",2957
"W10193555-lhc","branch","beach",1,"Read","box","Study1","M","Study Phase","Recall1",6195
"W791354JJ","cutter","beach",1,"Read","box","Study1","M","Study Phase","Recall1",4565
"10170473MP","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",1207
"w10075447KJ","ocean","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",3218
"w10080067GH","pie","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",6852
"w10086872RB","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",5775
"w10089688_jp","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",5229
"W10097113_SML","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",10158
"w10126861SES","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",123
"w10131605TS","pie","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",6449
"w10134028","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",962
"w10136835_VEH","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",3264
"w10137210_zr","happy","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",4524
"w10137367_mpc","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",20354
"w10139896_iro","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",3257
"w10141663MH","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",9382
"w10142111_AGS","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",5962
"w10158214_AL","party","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",10733
"w10158561PR","pie","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",1991
"w10163667_kg","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",23292
"w10170329_cm","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",7484
"w10170428_RG","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",4812
"w10171031","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",16721
"w10173870_tab","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",5611
"w10175512_hmr","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",7466
"w10179887cgs","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",5262
"w10180613_ajt","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",9168
"w10180617_ckc","birthday","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",12731
"w10186913_mnr","hand","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",8970
"w10187622_dab","batter","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",4738
"W10193555-lhc","","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",8305
"W791354JJ","cup","hand",1,"Read","cake","Study1","U","Study Phase","Recall1",8075
"10170473MP","rug","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2186
"w10075447KJ","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2848
"w10080067GH","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2563
"w10086872RB","cleaner","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",3999
"w10089688_jp","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",34366
"W10097113_SML","plush","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",4858
"w10126861SES","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",143
"w10131605TS","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",9966
"w10134028","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",11816
"w10136835_VEH","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",1154
"w10137210_zr","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2730
"w10137367_mpc","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",327
"w10139896_iro","floor","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2314
"w10141663MH","ceiling ","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",4992
"w10142111_AGS","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",7968
"w10158214_AL","cleaner","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",43638
"w10158561PR","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",2579
"w10163667_kg","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",1091
"w10170329_cm","floor","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",3973
"w10170428_RG","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",6864
"w10171031","heavy","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",4850
"w10173870_tab","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",1670
"w10175512_hmr","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",1273
"w10179887cgs","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",406
"w10180613_ajt","","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",1525
"w10180617_ckc","rug","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",3966
"w10186913_mnr","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",14962
"w10187622_dab","floor","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",3770
"W10193555-lhc","ceiling","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",4961
"W791354JJ","rug","ceiling",1,"Read","carpet","Study1","M","Study Phase","Recall1",6872
"10170473MP","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",2047
"w10075447KJ","ball","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",2759
"w10080067GH","shit","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5746
"w10086872RB","candy","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4512
"w10089688_jp","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4515
"W10097113_SML","plant","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",6594
"w10126861SES","","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",185
"w10131605TS","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",3779
"w10134028","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",2599
"w10136835_VEH","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",1895
"w10137210_zr","stretch","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5021
"w10137367_mpc","","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",364
"w10139896_iro","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",7420
"w10141663MH","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4701
"w10142111_AGS","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",3626
"w10158214_AL","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4889
"w10158561PR","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",1677
"w10163667_kg","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",22315
"w10170329_cm","swab","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5081
"w10170428_RG","","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",9886
"w10171031","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",10440
"w10173870_tab","rough","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4860
"w10175512_hmr","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",4245
"w10179887cgs","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",6498
"w10180613_ajt","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5054
"w10180617_ckc","rough","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",3055
"w10186913_mnr","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",6733
"w10187622_dab","farmer","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5277
"W10193555-lhc","hard","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",5780
"W791354JJ","ball","hard",1,"Read","cotton","Study1","M","Study Phase","Recall1",3823
"10170473MP","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",2321
"w10075447KJ","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1660
"w10080067GH","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1701
"w10086872RB","barrel","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",6905
"w10089688_jp","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",18281
"W10097113_SML","snap","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",5786
"w10126861SES","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",366
"w10131605TS","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",16892
"w10134028","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1132
"w10136835_VEH","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1146
"w10137210_zr","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",3220
"w10137367_mpc","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",470
"w10139896_iro","fire","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",3695
"w10141663MH","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",7649
"w10142111_AGS","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",20866
"w10158214_AL","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",5486
"w10158561PR","fire","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",5660
"w10163667_kg","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",19490
"w10170329_cm","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",4818
"w10170428_RG","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1830
"w10171031","laugh","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",6576
"w10173870_tab","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",7999
"w10175512_hmr","firework","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",7058
"w10179887cgs","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",2849
"w10180613_ajt","","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",14353
"w10180617_ckc","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1932
"w10186913_mnr","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",5886
"w10187622_dab","pop","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",1905
"W10193555-lhc","election","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",17799
"W791354JJ","knuckle","election",1,"Read","crackle","Study1","U","Study Phase","Recall1",5516
"10170473MP","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1985
"w10075447KJ","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",4267
"w10080067GH","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1472
"w10086872RB","course ","card",1,"Read","credit","Study1","F","Study Phase","Recall1",29917
"w10089688_jp","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2613
"W10097113_SML","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",4287
"w10126861SES","","card",1,"Read","credit","Study1","F","Study Phase","Recall1",309
"w10131605TS","score","card",1,"Read","credit","Study1","F","Study Phase","Recall1",5739
"w10134028","","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1786
"w10136835_VEH","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1744
"w10137210_zr","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1861
"w10137367_mpc","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",12836
"w10139896_iro","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1748
"w10141663MH","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",3045
"w10142111_AGS","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2875
"w10158214_AL","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",3482
"w10158561PR","","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1315
"w10163667_kg","","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2098
"w10170329_cm","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",4854
"w10170428_RG","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2450
"w10171031","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2382
"w10173870_tab","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",3810
"w10175512_hmr","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",3286
"w10179887cgs","debit","card",1,"Read","credit","Study1","F","Study Phase","Recall1",12164
"w10180613_ajt","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",5401
"w10180617_ckc","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",2008
"w10186913_mnr","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",5756
"w10187622_dab","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",1913
"W10193555-lhc","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",5491
"W791354JJ","card","card",1,"Read","credit","Study1","F","Study Phase","Recall1",3468
"10170473MP","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",1072
"w10075447KJ","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",1632
"w10080067GH","song","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",1943
"w10086872RB","music ","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",6123
"w10089688_jp","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",29343
"W10097113_SML","tree","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",28872
"w10126861SES","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",274
"w10131605TS","stand","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",6275
"w10134028","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",746
"w10136835_VEH","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",1484
"w10137210_zr","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",3136
"w10137367_mpc","par","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",2017
"w10139896_iro","move","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",2406
"w10141663MH","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",7682
"w10142111_AGS","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",18928
"w10158214_AL","party","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",7413
"w10158561PR","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",2671
"w10163667_kg","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",1307
"w10170329_cm","sing","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",10417
"w10170428_RG","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",3562
"w10171031","wedding","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",9891
"w10173870_tab","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",2801
"w10175512_hmr","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",5225
"w10179887cgs","now","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",5545
"w10180613_ajt","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",8424
"w10180617_ckc","spin","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",9398
"w10186913_mnr","circle","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",14949
"w10187622_dab","floor","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",2273
"W10193555-lhc","","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",5935
"W791354JJ","move","circle",1,"Read","dance","Study1","M","Study Phase","Recall1",3470
"10170473MP","","day",1,"Read","dark","Study1","M","Study Phase","Recall1",884
"w10075447KJ","light","day",1,"Read","dark","Study1","M","Study Phase","Recall1",3355
"w10080067GH","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",1541
"w10086872RB","brown","day",1,"Read","dark","Study1","M","Study Phase","Recall1",3219
"w10089688_jp","cold","day",1,"Read","dark","Study1","M","Study Phase","Recall1",48413
"W10097113_SML","pitch","day",1,"Read","dark","Study1","M","Study Phase","Recall1",6135
"w10126861SES","","day",1,"Read","dark","Study1","M","Study Phase","Recall1",358
"w10131605TS","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",5363
"w10134028","light","day",1,"Read","dark","Study1","M","Study Phase","Recall1",4488
"w10136835_VEH","time","day",1,"Read","dark","Study1","M","Study Phase","Recall1",2610
"w10137210_zr","light","day",1,"Read","dark","Study1","M","Study Phase","Recall1",2588
"w10137367_mpc","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",13068
"w10139896_iro","sun","day",1,"Read","dark","Study1","M","Study Phase","Recall1",6929
"w10141663MH","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",20284
"w10142111_AGS","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",88632
"w10158214_AL","light ","day",1,"Read","dark","Study1","M","Study Phase","Recall1",5820
"w10158561PR","night","day",1,"Read","dark","Study1","M","Study Phase","Recall1",2345
"w10163667_kg","day","day",1,"Read","dark","Study1","M","Study Phase","Recall1",20231
