"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"M20332017!DJ","catch","bounce",2,"JOL","bat","Study1","M","Study Phase",20,"Recall1",4878
"M20333447_MHT","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",80,"Recall1",1949
"M20333764_CG","pitcher","bounce",2,"JOL","bat","Study1","M","Study Phase",20,"Recall1",8078
"M20335355MK","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",28,"Recall1",7265
"20319692CL","grass","box",2,"JOL","beach","Study1","M","Study Phase",12,"Recall1",11677
"M20277369_edm","box","box",2,"JOL","beach","Study1","M","Study Phase",43,"Recall1",6674
"M20288446A.T","box","box",2,"JOL","beach","Study1","M","Study Phase",20,"Recall1",2264
"M20300061AA","","box",2,"JOL","beach","Study1","M","Study Phase",1,"Recall1",1333
"M20317869CDT","sand","box",2,"JOL","beach","Study1","M","Study Phase",10,"Recall1",2923
"M20319488_IDH","box","box",2,"JOL","beach","Study1","M","Study Phase",17,"Recall1",2037
"M20322318","","box",2,"JOL","beach","Study1","M","Study Phase",20,"Recall1",1766
"M20330812","seashells","box",2,"JOL","beach","Study1","M","Study Phase",100,"Recall1",54232
"M20331863_TL","","box",2,"JOL","beach","Study1","M","Study Phase",23,"Recall1",2705
"M20332017!DJ","sand","box",2,"JOL","beach","Study1","M","Study Phase",30,"Recall1",1860
"M20333447_MHT","box","box",2,"JOL","beach","Study1","M","Study Phase",0,"Recall1",1774
"M20333764_CG","ball","box",2,"JOL","beach","Study1","M","Study Phase",15,"Recall1",7074
"M20335355MK","sand","box",2,"JOL","beach","Study1","M","Study Phase",30,"Recall1",4230
"20319692CL","event","pie",2,"JOL","birthday","Study1","M","Study Phase",23,"Recall1",3472
"M20277369_edm","","pie",2,"JOL","birthday","Study1","M","Study Phase",76,"Recall1",2614
"M20288446A.T","celebration","pie",2,"JOL","birthday","Study1","M","Study Phase",10,"Recall1",5838
"M20300061AA","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",5,"Recall1",2097
"M20317869CDT","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",20,"Recall1",2833
"M20319488_IDH","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",47,"Recall1",1865
"M20322318","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",10,"Recall1",2585
"M20330812","celebration","pie",2,"JOL","birthday","Study1","M","Study Phase",100,"Recall1",11413
"M20331863_TL","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",70,"Recall1",5610
"M20332017!DJ","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",40,"Recall1",2005
"M20333447_MHT","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",70,"Recall1",1733
"M20333764_CG","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",50,"Recall1",8385
"M20335355MK","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",0,"Recall1",2042
"20319692CL","treat","hand",2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",11225
"M20277369_edm","birthday","hand",2,"JOL","cake","Study1","U","Study Phase",32,"Recall1",4058
"M20288446A.T","hand","hand",2,"JOL","cake","Study1","U","Study Phase",1,"Recall1",4985
"M20300061AA","","hand",2,"JOL","cake","Study1","U","Study Phase",1,"Recall1",2408
"M20317869CDT","key","hand",2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",6050
"M20319488_IDH","clothes","hand",2,"JOL","cake","Study1","U","Study Phase",38,"Recall1",18338
"M20322318","pie","hand",2,"JOL","cake","Study1","U","Study Phase",10,"Recall1",2845
"M20330812","bake","hand",2,"JOL","cake","Study1","U","Study Phase",100,"Recall1",18406
"M20331863_TL","pie","hand",2,"JOL","cake","Study1","U","Study Phase",34,"Recall1",2496
"M20332017!DJ","sweet","hand",2,"JOL","cake","Study1","U","Study Phase",60,"Recall1",4921
"M20333447_MHT","","hand",2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",3775
"M20333764_CG","plant","hand",2,"JOL","cake","Study1","U","Study Phase",40,"Recall1",7464
"M20335355MK","hand","hand",2,"JOL","cake","Study1","U","Study Phase",2,"Recall1",4646
"20319692CL","floor","carpet",2,"JOL","ceiling","Study1","M","Study Phase",45,"Recall1",3169
"M20277369_edm","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",23,"Recall1",3858
"M20288446A.T","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",1,"Recall1",4135
"M20300061AA","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",60,"Recall1",3187
"M20317869CDT","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",10,"Recall1",4261
"M20319488_IDH","wall","carpet",2,"JOL","ceiling","Study1","M","Study Phase",37,"Recall1",2885
"M20322318","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",30,"Recall1",3478
"M20330812","light","carpet",2,"JOL","ceiling","Study1","M","Study Phase",100,"Recall1",11350
"M20331863_TL","floor","carpet",2,"JOL","ceiling","Study1","M","Study Phase",54,"Recall1",3944
"M20332017!DJ","air","carpet",2,"JOL","ceiling","Study1","M","Study Phase",60,"Recall1",2820
"M20333447_MHT","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",30,"Recall1",2110
"M20333764_CG","listen","carpet",2,"JOL","ceiling","Study1","M","Study Phase",50,"Recall1",11016
"M20335355MK","carpet","carpet",2,"JOL","ceiling","Study1","M","Study Phase",37,"Recall1",5289
"20319692CL","dance","dance",2,"JOL","circle","Study1","M","Study Phase",0,"Recall1",2404
"M20277369_edm","dance","dance",2,"JOL","circle","Study1","M","Study Phase",56,"Recall1",3853
"M20288446A.T","k","dance",2,"JOL","circle","Study1","M","Study Phase",99,"Recall1",1376
"M20300061AA","","dance",2,"JOL","circle","Study1","M","Study Phase",1,"Recall1",973
"M20317869CDT","dance","dance",2,"JOL","circle","Study1","M","Study Phase",0,"Recall1",3463
"M20319488_IDH","dancing","dance",2,"JOL","circle","Study1","M","Study Phase",38,"Recall1",2655
"M20322318","","dance",2,"JOL","circle","Study1","M","Study Phase",20,"Recall1",1331
"M20330812","round","dance",2,"JOL","circle","Study1","M","Study Phase",100,"Recall1",12178
"M20331863_TL","","dance",2,"JOL","circle","Study1","M","Study Phase",34,"Recall1",1776
"M20332017!DJ","round","dance",2,"JOL","circle","Study1","M","Study Phase",60,"Recall1",2591
"M20333447_MHT","dance","dance",2,"JOL","circle","Study1","M","Study Phase",10,"Recall1",3983
"M20333764_CG","dance","dance",2,"JOL","circle","Study1","M","Study Phase",50,"Recall1",6763
"M20335355MK","dance","dance",2,"JOL","circle","Study1","M","Study Phase",4,"Recall1",3524
"20319692CL","pop","election",2,"JOL","crackle","Study1","U","Study Phase",30,"Recall1",4183
"M20277369_edm","snap","election",2,"JOL","crackle","Study1","U","Study Phase",1,"Recall1",3869
"M20288446A.T","jole","election",2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",3130
"M20300061AA","smooth","election",2,"JOL","crackle","Study1","U","Study Phase",1,"Recall1",5807
"M20317869CDT","pop","election",2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",2481
"M20319488_IDH","shackle","election",2,"JOL","crackle","Study1","U","Study Phase",32,"Recall1",3106
"M20322318","pop","election",2,"JOL","crackle","Study1","U","Study Phase",10,"Recall1",2848
"M20330812","pop","election",2,"JOL","crackle","Study1","U","Study Phase",100,"Recall1",14144
"M20331863_TL","","election",2,"JOL","crackle","Study1","U","Study Phase",23,"Recall1",1163
"M20332017!DJ","fire","election",2,"JOL","crackle","Study1","U","Study Phase",30,"Recall1",5811
"M20333447_MHT","election","election",2,"JOL","crackle","Study1","U","Study Phase",100,"Recall1",2598
"M20333764_CG","hit","election",2,"JOL","crackle","Study1","U","Study Phase",10,"Recall1",14510
"M20335355MK","election","election",2,"JOL","crackle","Study1","U","Study Phase",3,"Recall1",6749
"20319692CL","card","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",2131
"M20277369_edm","card","card",2,"JOL","credit","Study1","F","Study Phase",99,"Recall1",3249
"M20288446A.T","card","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",2708
"M20300061AA","card","card",2,"JOL","credit","Study1","F","Study Phase",90,"Recall1",1543
"M20317869CDT","card","card",2,"JOL","credit","Study1","F","Study Phase",80,"Recall1",4111
"M20319488_IDH","card","card",2,"JOL","credit","Study1","F","Study Phase",69,"Recall1",1811
"M20322318","card","card",2,"JOL","credit","Study1","F","Study Phase",40,"Recall1",2128
"M20330812","debit","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",13502
"M20331863_TL","card","card",2,"JOL","credit","Study1","F","Study Phase",96,"Recall1",2384
"M20332017!DJ","card","card",2,"JOL","credit","Study1","F","Study Phase",20,"Recall1",1900
"M20333447_MHT","card","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",3043
"M20333764_CG","card","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",7394
"M20335355MK","hour","card",2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",3670
"20319692CL","smile","bottle",2,"JOL","cry","Study1","M","Study Phase",12,"Recall1",3620
"M20277369_edm","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",55,"Recall1",5735
"M20288446A.T","now","bottle",2,"JOL","cry","Study1","M","Study Phase",9,"Recall1",1459
"M20300061AA","","bottle",2,"JOL","cry","Study1","M","Study Phase",60,"Recall1",1392
"M20317869CDT","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",80,"Recall1",3258
"M20319488_IDH","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",55,"Recall1",3228
"M20322318","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",50,"Recall1",3179
"M20330812","tear","bottle",2,"JOL","cry","Study1","M","Study Phase",100,"Recall1",8782
"M20331863_TL","stear","bottle",2,"JOL","cry","Study1","M","Study Phase",45,"Recall1",10457
"M20332017!DJ","scream","bottle",2,"JOL","cry","Study1","M","Study Phase",60,"Recall1",44951
"M20333447_MHT","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",20,"Recall1",3545
"M20333764_CG","","bottle",2,"JOL","cry","Study1","M","Study Phase",20,"Recall1",9557
"M20335355MK","weep","bottle",2,"JOL","cry","Study1","M","Study Phase",0,"Recall1",3974
"20319692CL","dark","dark",2,"JOL","day","Study1","M","Study Phase",23,"Recall1",3572
"M20277369_edm","temperature ","dark",2,"JOL","day","Study1","M","Study Phase",47,"Recall1",6059
"M20288446A.T","dark","dark",2,"JOL","day","Study1","M","Study Phase",20,"Recall1",6448
"M20300061AA","night","dark",2,"JOL","day","Study1","M","Study Phase",80,"Recall1",1915
"M20317869CDT","month","dark",2,"JOL","day","Study1","M","Study Phase",50,"Recall1",3517
"M20319488_IDH","night","dark",2,"JOL","day","Study1","M","Study Phase",46,"Recall1",3216
"M20322318","dark","dark",2,"JOL","day","Study1","M","Study Phase",40,"Recall1",3324
"M20330812","night","dark",2,"JOL","day","Study1","M","Study Phase",100,"Recall1",12763
"M20331863_TL","week","dark",2,"JOL","day","Study1","M","Study Phase",50,"Recall1",3325
"M20332017!DJ","weeks","dark",2,"JOL","day","Study1","M","Study Phase",2,"Recall1",2114
"M20333447_MHT","night","dark",2,"JOL","day","Study1","M","Study Phase",100,"Recall1",4374
"M20333764_CG","dark","dark",2,"JOL","day","Study1","M","Study Phase",55,"Recall1",6913
"M20335355MK","dark","dark",2,"JOL","day","Study1","M","Study Phase",56,"Recall1",5172
"20319692CL","rough","bang",2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",5081
"M20277369_edm","arm","bang",2,"JOL","fuzzy","Study1","U","Study Phase",45,"Recall1",5797
"M20288446A.T","busy","bang",2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",8863
"M20300061AA","","bang",2,"JOL","fuzzy","Study1","U","Study Phase",1,"Recall1",973
"M20317869CDT","book","bang",2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",5200
"M20319488_IDH","wuzzy","bang",2,"JOL","fuzzy","Study1","U","Study Phase",43,"Recall1",4746
"M20322318","","bang",2,"JOL","fuzzy","Study1","U","Study Phase",10,"Recall1",706
"M20330812","soft","bang",2,"JOL","fuzzy","Study1","U","Study Phase",100,"Recall1",10288
"M20331863_TL","bang","bang",2,"JOL","fuzzy","Study1","U","Study Phase",20,"Recall1",2018
"M20332017!DJ","sock","bang",2,"JOL","fuzzy","Study1","U","Study Phase",20,"Recall1",3151
"M20333447_MHT","bang","bang",2,"JOL","fuzzy","Study1","U","Study Phase",50,"Recall1",3634
"M20333764_CG","","bang",2,"JOL","fuzzy","Study1","U","Study Phase",10,"Recall1",5286
"M20335355MK","","bang",2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",3127
"20319692CL","take","steak",2,"JOL","give","Study1","U","Study Phase",1,"Recall1",2017
"M20277369_edm","","steak",2,"JOL","give","Study1","U","Study Phase",32,"Recall1",5275
"M20288446A.T","me","steak",2,"JOL","give","Study1","U","Study Phase",5,"Recall1",1462
"M20300061AA","take","steak",2,"JOL","give","Study1","U","Study Phase",1,"Recall1",2718
"M20317869CDT","get","steak",2,"JOL","give","Study1","U","Study Phase",10,"Recall1",2303
"M20319488_IDH","up","steak",2,"JOL","give","Study1","U","Study Phase",23,"Recall1",2443
"M20322318","","steak",2,"JOL","give","Study1","U","Study Phase",30,"Recall1",1163
"M20330812","receive","steak",2,"JOL","give","Study1","U","Study Phase",100,"Recall1",12303
"M20331863_TL","take","steak",2,"JOL","give","Study1","U","Study Phase",55,"Recall1",2598
"M20332017!DJ","take","steak",2,"JOL","give","Study1","U","Study Phase",30,"Recall1",1875
"M20333447_MHT","steak","steak",2,"JOL","give","Study1","U","Study Phase",100,"Recall1",2456
"M20333764_CG","","steak",2,"JOL","give","Study1","U","Study Phase",15,"Recall1",4984
"M20335355MK","take","steak",2,"JOL","give","Study1","U","Study Phase",0,"Recall1",5506
"20319692CL","soft","cotton",2,"JOL","hard","Study1","M","Study Phase",0,"Recall1",3333
"M20277369_edm","scalp","cotton",2,"JOL","hard","Study1","M","Study Phase",45,"Recall1",3292
"M20288446A.T","cottom","cotton",2,"JOL","hard","Study1","M","Study Phase",11,"Recall1",6113
"M20300061AA","","cotton",2,"JOL","hard","Study1","M","Study Phase",1,"Recall1",1364
"M20317869CDT","stone","cotton",2,"JOL","hard","Study1","M","Study Phase",0,"Recall1",5547
"M20319488_IDH","head","cotton",2,"JOL","hard","Study1","M","Study Phase",29,"Recall1",5492
"M20322318","","cotton",2,"JOL","hard","Study1","M","Study Phase",10,"Recall1",1042
"M20330812","soft","cotton",2,"JOL","hard","Study1","M","Study Phase",100,"Recall1",17910
"M20331863_TL","tissue","cotton",2,"JOL","hard","Study1","M","Study Phase",12,"Recall1",6301
"M20332017!DJ","difficult","cotton",2,"JOL","hard","Study1","M","Study Phase",40,"Recall1",6094
"M20333447_MHT","cotton","cotton",2,"JOL","hard","Study1","M","Study Phase",40,"Recall1",2185
"M20333764_CG","bounce","cotton",2,"JOL","hard","Study1","M","Study Phase",25,"Recall1",8588
"M20335355MK","soft","cotton",2,"JOL","hard","Study1","M","Study Phase",36,"Recall1",3513
"20319692CL","","wheel",2,"JOL","horse","Study1","M","Study Phase",1,"Recall1",3163
"M20277369_edm","shoe","wheel",2,"JOL","horse","Study1","M","Study Phase",34,"Recall1",4339
"M20288446A.T","donkey","wheel",2,"JOL","horse","Study1","M","Study Phase",40,"Recall1",8216
"M20300061AA","mule","wheel",2,"JOL","horse","Study1","M","Study Phase",15,"Recall1",2992
"M20317869CDT","cow","wheel",2,"JOL","horse","Study1","M","Study Phase",10,"Recall1",5226
"M20319488_IDH","","wheel",2,"JOL","horse","Study1","M","Study Phase",34,"Recall1",4612
"M20322318","money","wheel",2,"JOL","horse","Study1","M","Study Phase",10,"Recall1",4615
"M20330812","saddle","wheel",2,"JOL","horse","Study1","M","Study Phase",100,"Recall1",10326
"M20331863_TL","donkey","wheel",2,"JOL","horse","Study1","M","Study Phase",44,"Recall1",3490
"M20332017!DJ","saddle","wheel",2,"JOL","horse","Study1","M","Study Phase",2,"Recall1",9095
"M20333447_MHT","wheel","wheel",2,"JOL","horse","Study1","M","Study Phase",60,"Recall1",3480
"M20333764_CG","round","wheel",2,"JOL","horse","Study1","M","Study Phase",15,"Recall1",10641
"M20335355MK","wheel","wheel",2,"JOL","horse","Study1","M","Study Phase",32,"Recall1",3806
"20319692CL","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",98,"Recall1",2248
"M20277369_edm","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",89,"Recall1",6527
"M20288446A.T","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",100,"Recall1",2722
"M20300061AA","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",80,"Recall1",2272
"M20317869CDT","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",90,"Recall1",4922
"M20319488_IDH","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",74,"Recall1",2543
"M20322318","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",20,"Recall1",2578
"M20330812","cleanliness","clean",2,"JOL","hygiene","Study1","F","Study Phase",100,"Recall1",11630
"M20331863_TL","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",60,"Recall1",2060
"M20332017!DJ","teeth","clean",2,"JOL","hygiene","Study1","F","Study Phase",30,"Recall1",3538
"M20333447_MHT","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",70,"Recall1",1823
"M20333764_CG","teeth","clean",2,"JOL","hygiene","Study1","F","Study Phase",90,"Recall1",13695
"M20335355MK","clean","clean",2,"JOL","hygiene","Study1","F","Study Phase",100,"Recall1",2779
"20319692CL","","rod",2,"JOL","keys","Study1","U","Study Phase",1,"Recall1",1199
"M20277369_edm","box ","rod",2,"JOL","keys","Study1","U","Study Phase",43,"Recall1",7733
"M20288446A.T","handle","rod",2,"JOL","keys","Study1","U","Study Phase",100,"Recall1",5845
"M20300061AA","","rod",2,"JOL","keys","Study1","U","Study Phase",1,"Recall1",1203
"M20317869CDT","","rod",2,"JOL","keys","Study1","U","Study Phase",0,"Recall1",6579
"M20319488_IDH","meat","rod",2,"JOL","keys","Study1","U","Study Phase",43,"Recall1",3968
"M20322318","","rod",2,"JOL","keys","Study1","U","Study Phase",20,"Recall1",1066
"M20330812","locks","rod",2,"JOL","keys","Study1","U","Study Phase",100,"Recall1",12183
"M20331863_TL","","rod",2,"JOL","keys","Study1","U","Study Phase",1,"Recall1",4319
"M20332017!DJ","money","rod",2,"JOL","keys","Study1","U","Study Phase",20,"Recall1",5911
"M20333447_MHT","post","rod",2,"JOL","keys","Study1","U","Study Phase",0,"Recall1",8257
"M20333764_CG","find","rod",2,"JOL","keys","Study1","U","Study Phase",20,"Recall1",4849
"M20335355MK","rod","rod",2,"JOL","keys","Study1","U","Study Phase",0,"Recall1",12057
"20319692CL","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",0,"Recall1",2412
"M20277369_edm","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",32,"Recall1",3828
"M20288446A.T","king","stripes",2,"JOL","lion","Study1","M","Study Phase",12,"Recall1",2364
"M20300061AA","","stripes",2,"JOL","lion","Study1","M","Study Phase",1,"Recall1",1186
"M20317869CDT","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",10,"Recall1",3479
"M20319488_IDH","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",41,"Recall1",3041
"M20322318","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",40,"Recall1",4474
"M20330812","jungle","stripes",2,"JOL","lion","Study1","M","Study Phase",100,"Recall1",9959
"M20331863_TL","sight","stripes",2,"JOL","lion","Study1","M","Study Phase",8,"Recall1",8974
"M20332017!DJ","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",40,"Recall1",5237
"M20333447_MHT","stripes","stripes",2,"JOL","lion","Study1","M","Study Phase",60,"Recall1",1887
"M20333764_CG","","stripes",2,"JOL","lion","Study1","M","Study Phase",5,"Recall1",8813
"M20335355MK","stripe","stripes",2,"JOL","lion","Study1","M","Study Phase",0,"Recall1",4734
"20319692CL","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",97,"Recall1",3309
"M20277369_edm","","fiction",2,"JOL","listen","Study1","U","Study Phase",22,"Recall1",1514
"M20288446A.T","now","fiction",2,"JOL","listen","Study1","U","Study Phase",10,"Recall1",2167
"M20300061AA","","fiction",2,"JOL","listen","Study1","U","Study Phase",1,"Recall1",1005
"M20317869CDT","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",30,"Recall1",4159
"M20319488_IDH","motion","fiction",2,"JOL","listen","Study1","U","Study Phase",46,"Recall1",9410
"M20322318","quite","fiction",2,"JOL","listen","Study1","U","Study Phase",10,"Recall1",4781
"M20330812","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",100,"Recall1",11840
"M20331863_TL","","fiction",2,"JOL","listen","Study1","U","Study Phase",34,"Recall1",6253
"M20332017!DJ","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",40,"Recall1",2382
"M20333447_MHT","fiction","fiction",2,"JOL","listen","Study1","U","Study Phase",25,"Recall1",3752
"M20333764_CG","","fiction",2,"JOL","listen","Study1","U","Study Phase",15,"Recall1",7553
"M20335355MK","hear","fiction",2,"JOL","listen","Study1","U","Study Phase",12,"Recall1",4280
"20319692CL","trash","trash",2,"JOL","litter","Study1","F","Study Phase",98,"Recall1",2947
"M20277369_edm","trash ","trash",2,"JOL","litter","Study1","F","Study Phase",54,"Recall1",7747
"M20288446A.T","box","trash",2,"JOL","litter","Study1","F","Study Phase",90,"Recall1",1922
"M20300061AA","","trash",2,"JOL","litter","Study1","F","Study Phase",90,"Recall1",842
"M20317869CDT","trash","trash",2,"JOL","litter","Study1","F","Study Phase",90,"Recall1",2833
"M20319488_IDH","trash","trash",2,"JOL","litter","Study1","F","Study Phase",47,"Recall1",3983
"M20322318","cat","trash",2,"JOL","litter","Study1","F","Study Phase",50,"Recall1",2664
"M20330812","bin","trash",2,"JOL","litter","Study1","F","Study Phase",100,"Recall1",13819
"M20331863_TL","trash","trash",2,"JOL","litter","Study1","F","Study Phase",86,"Recall1",3295
"M20332017!DJ","box","trash",2,"JOL","litter","Study1","F","Study Phase",80,"Recall1",3145
"M20333447_MHT","trash","trash",2,"JOL","litter","Study1","F","Study Phase",70,"Recall1",3821
"M20333764_CG","trash","trash",2,"JOL","litter","Study1","F","Study Phase",75,"Recall1",6625
"M20335355MK","trash","trash",2,"JOL","litter","Study1","F","Study Phase",56,"Recall1",3219
"20319692CL","phone","phone",2,"JOL","maze","Study1","U","Study Phase",34,"Recall1",2684
"M20277369_edm","run","phone",2,"JOL","maze","Study1","U","Study Phase",33,"Recall1",2941
"M20288446A.T","mouth","phone",2,"JOL","maze","Study1","U","Study Phase",10,"Recall1",2860
"M20300061AA","","phone",2,"JOL","maze","Study1","U","Study Phase",1,"Recall1",1147
"M20317869CDT","phone","phone",2,"JOL","maze","Study1","U","Study Phase",0,"Recall1",2691
"M20319488_IDH","corn","phone",2,"JOL","maze","Study1","U","Study Phase",NA,"Recall1",4942
"M20322318","","phone",2,"JOL","maze","Study1","U","Study Phase",50,"Recall1",1299
"M20330812","puzzle","phone",2,"JOL","maze","Study1","U","Study Phase",100,"Recall1",15125
"M20331863_TL","air","phone",2,"JOL","maze","Study1","U","Study Phase",34,"Recall1",5195
"M20332017!DJ","corn","phone",2,"JOL","maze","Study1","U","Study Phase",20,"Recall1",1924
"M20333447_MHT","phone","phone",2,"JOL","maze","Study1","U","Study Phase",0,"Recall1",2331
"M20333764_CG","find","phone",2,"JOL","maze","Study1","U","Study Phase",5,"Recall1",13152
"M20335355MK","phone","phone",2,"JOL","maze","Study1","U","Study Phase",12,"Recall1",7691
"20319692CL","give","keys",2,"JOL","meat","Study1","U","Study Phase",0,"Recall1",3028
"M20277369_edm","claw","keys",2,"JOL","meat","Study1","U","Study Phase",34,"Recall1",5281
"M20288446A.T","mart","keys",2,"JOL","meat","Study1","U","Study Phase",6,"Recall1",9130
"M20300061AA","","keys",2,"JOL","meat","Study1","U","Study Phase",1,"Recall1",849
"M20317869CDT","","keys",2,"JOL","meat","Study1","U","Study Phase",0,"Recall1",4417
"M20319488_IDH","hands","keys",2,"JOL","meat","Study1","U","Study Phase",26,"Recall1",2314
"M20322318","","keys",2,"JOL","meat","Study1","U","Study Phase",60,"Recall1",1729
"M20330812","grill","keys",2,"JOL","meat","Study1","U","Study Phase",100,"Recall1",7518
"M20331863_TL","obtain","keys",2,"JOL","meat","Study1","U","Study Phase",76,"Recall1",5541
"M20332017!DJ","neat","keys",2,"JOL","meat","Study1","U","Study Phase",20,"Recall1",2214
"M20333447_MHT","","keys",2,"JOL","meat","Study1","U","Study Phase",0,"Recall1",7117
"M20333764_CG","","keys",2,"JOL","meat","Study1","U","Study Phase",10,"Recall1",8110
"M20335355MK","key","keys",2,"JOL","meat","Study1","U","Study Phase",0,"Recall1",3441
"20319692CL","maroon","maroon",2,"JOL","mirror","Study1","U","Study Phase",23,"Recall1",11467
"M20277369_edm","","maroon",2,"JOL","mirror","Study1","U","Study Phase",12,"Recall1",3078
"M20288446A.T","myself","maroon",2,"JOL","mirror","Study1","U","Study Phase",0,"Recall1",3855
