"id","encoding","direction","Response.RT","score","experiment"
"W10172829OA","JOL","M",3672,100,"Ex1A"
"W10174596_jw","JOL","M",3444,100,"Ex1A"
"w985404_djb","JOL","M",2982,0,"Ex1A"
"10111256JA","JOL","U",2676,0,"Ex1A"
"w10042447_keo","JOL","U",3719,0,"Ex1A"
"w10129023_aft","JOL","U",3575,0,"Ex1A"
"w10132704","JOL","U",2843,0,"Ex1A"
"w10139977_abt","JOL","U",3886,0,"Ex1A"
"w10140542KB","JOL","U",1974,0,"Ex1A"
"w10142718_ec","JOL","U",6423,0,"Ex1A"
"w10153807_MLP","JOL","U",2366,0,"Ex1A"
"w10157774HB","JOL","U",1842,0,"Ex1A"
"W10172829OA","JOL","U",3158,0,"Ex1A"
"W10174596_jw","JOL","U",3134,100,"Ex1A"
"w985404_djb","JOL","U",2110,0,"Ex1A"
"10111256JA","JOL","F",4216,100,"Ex1A"
"w10042447_keo","JOL","F",40876,100,"Ex1A"
"w10129023_aft","JOL","F",2672,100,"Ex1A"
"w10132704","JOL","F",2431,100,"Ex1A"
"w10139977_abt","JOL","F",3193,100,"Ex1A"
"w10140542KB","JOL","F",3641,100,"Ex1A"
"w10142718_ec","JOL","F",2675,100,"Ex1A"
"w10153807_MLP","JOL","F",4674,100,"Ex1A"
"w10157774HB","JOL","F",2836,100,"Ex1A"
"W10172829OA","JOL","F",3601,100,"Ex1A"
"W10174596_jw","JOL","F",3458,100,"Ex1A"
"w985404_djb","JOL","F",2589,100,"Ex1A"
"10111256JA","JOL","M",2033,0,"Ex1A"
"w10042447_keo","JOL","M",2668,0,"Ex1A"
"w10129023_aft","JOL","M",3154,100,"Ex1A"
"w10132704","JOL","M",3794,0,"Ex1A"
"w10139977_abt","JOL","M",3572,0,"Ex1A"
"w10140542KB","JOL","M",1501,100,"Ex1A"
"w10142718_ec","JOL","M",2927,0,"Ex1A"
"w10153807_MLP","JOL","M",9608,100,"Ex1A"
"w10157774HB","JOL","M",4364,100,"Ex1A"
"W10172829OA","JOL","M",3628,0,"Ex1A"
"W10174596_jw","JOL","M",3195,100,"Ex1A"
"w985404_djb","JOL","M",2517,0,"Ex1A"
"10111256JA","JOL","M",1592,0,"Ex1A"
"w10042447_keo","JOL","M",3091,0,"Ex1A"
"w10129023_aft","JOL","M",5320,0,"Ex1A"
"w10132704","JOL","M",3499,0,"Ex1A"
"w10139977_abt","JOL","M",5104,100,"Ex1A"
"w10140542KB","JOL","M",3267,100,"Ex1A"
"w10142718_ec","JOL","M",10617,0,"Ex1A"
"w10153807_MLP","JOL","M",4156,0,"Ex1A"
"w10157774HB","JOL","M",5689,100,"Ex1A"
"W10172829OA","JOL","M",4041,100,"Ex1A"
"W10174596_jw","JOL","M",3346,0,"Ex1A"
"w985404_djb","JOL","M",2504,0,"Ex1A"
"10111256JA","JOL","U",1959,0,"Ex1A"
"w10042447_keo","JOL","U",6117,0,"Ex1A"
"w10129023_aft","JOL","U",2892,0,"Ex1A"
"w10132704","JOL","U",3684,0,"Ex1A"
"w10139977_abt","JOL","U",6676,0,"Ex1A"
"w10140542KB","JOL","U",1487,0,"Ex1A"
"w10142718_ec","JOL","U",2110,0,"Ex1A"
"w10153807_MLP","JOL","U",3662,0,"Ex1A"
"w10157774HB","JOL","U",4105,100,"Ex1A"
"W10172829OA","JOL","U",4985,0,"Ex1A"
"W10174596_jw","JOL","U",3425,0,"Ex1A"
"w985404_djb","JOL","U",2881,0,"Ex1A"
"10111256JA","JOL","U",6578,0,"Ex1A"
"w10042447_keo","JOL","U",2656,0,"Ex1A"
"w10129023_aft","JOL","U",1965,100,"Ex1A"
"w10132704","JOL","U",4721,0,"Ex1A"
"w10139977_abt","JOL","U",4664,0,"Ex1A"
"w10140542KB","JOL","U",7326,0,"Ex1A"
"w10142718_ec","JOL","U",1559,0,"Ex1A"
"w10153807_MLP","JOL","U",6284,0,"Ex1A"
"w10157774HB","JOL","U",2050,0,"Ex1A"
"W10172829OA","JOL","U",10119,100,"Ex1A"
"W10174596_jw","JOL","U",2692,100,"Ex1A"
"w985404_djb","JOL","U",5704,100,"Ex1A"
"10111256JA","JOL","M",1406,0,"Ex1A"
"w10042447_keo","JOL","M",3143,0,"Ex1A"
"w10129023_aft","JOL","M",4073,100,"Ex1A"
"w10132704","JOL","M",2845,0,"Ex1A"
"w10139977_abt","JOL","M",5008,0,"Ex1A"
"w10140542KB","JOL","M",3269,0,"Ex1A"
"w10142718_ec","JOL","M",1936,100,"Ex1A"
"w10153807_MLP","JOL","M",2802,0,"Ex1A"
"w10157774HB","JOL","M",3491,0,"Ex1A"
"W10172829OA","JOL","M",5746,0,"Ex1A"
"W10174596_jw","JOL","M",3541,100,"Ex1A"
"w985404_djb","JOL","M",2620,0,"Ex1A"
"10111256JA","JOL","M",2147,0,"Ex1A"
"w10042447_keo","JOL","M",4594,100,"Ex1A"
"w10129023_aft","JOL","M",7286,0,"Ex1A"
"w10132704","JOL","M",2732,0,"Ex1A"
"w10139977_abt","JOL","M",4874,0,"Ex1A"
"w10140542KB","JOL","M",3185,0,"Ex1A"
"w10142718_ec","JOL","M",8065,0,"Ex1A"
"w10153807_MLP","JOL","M",6096,100,"Ex1A"
"w10157774HB","JOL","M",2599,0,"Ex1A"
"W10172829OA","JOL","M",3318,0,"Ex1A"
"W10174596_jw","JOL","M",3426,0,"Ex1A"
"w985404_djb","JOL","M",2503,0,"Ex1A"
"10111256JA","JOL","F",2275,0,"Ex1A"
"w10042447_keo","JOL","F",2174,0,"Ex1A"
"w10129023_aft","JOL","F",3858,100,"Ex1A"
"w10132704","JOL","F",3421,100,"Ex1A"
"w10139977_abt","JOL","F",8559,0,"Ex1A"
"w10140542KB","JOL","F",2969,100,"Ex1A"
"w10142718_ec","JOL","F",5611,100,"Ex1A"
"w10153807_MLP","JOL","F",6460,0,"Ex1A"
"w10157774HB","JOL","F",2493,100,"Ex1A"
"W10172829OA","JOL","F",3578,100,"Ex1A"
"W10174596_jw","JOL","F",3615,100,"Ex1A"
"w985404_djb","JOL","F",2654,100,"Ex1A"
"10111256JA","JOL","U",4219,0,"Ex1A"
"w10042447_keo","JOL","U",3167,0,"Ex1A"
"w10129023_aft","JOL","U",4287,0,"Ex1A"
"w10132704","JOL","U",4363,0,"Ex1A"
"w10139977_abt","JOL","U",3416,0,"Ex1A"
"w10140542KB","JOL","U",1705,100,"Ex1A"
"w10142718_ec","JOL","U",2305,100,"Ex1A"
"w10153807_MLP","JOL","U",6206,0,"Ex1A"
"w10157774HB","JOL","U",4500,0,"Ex1A"
"W10172829OA","JOL","U",5828,0,"Ex1A"
"W10174596_jw","JOL","U",3232,0,"Ex1A"
"w985404_djb","JOL","U",6230,0,"Ex1A"
"10111256JA","JOL","M",1439,0,"Ex1A"
"w10042447_keo","JOL","M",6931,100,"Ex1A"
"w10129023_aft","JOL","M",5456,100,"Ex1A"
"w10132704","JOL","M",3414,0,"Ex1A"
"w10139977_abt","JOL","M",4079,0,"Ex1A"
"w10140542KB","JOL","M",1471,100,"Ex1A"
"w10142718_ec","JOL","M",1962,0,"Ex1A"
"w10153807_MLP","JOL","M",7635,100,"Ex1A"
"w10157774HB","JOL","M",3533,100,"Ex1A"
"W10172829OA","JOL","M",7925,100,"Ex1A"
"W10174596_jw","JOL","M",3306,100,"Ex1A"
"w985404_djb","JOL","M",1929,0,"Ex1A"
"10111256JA","JOL","U",2579,0,"Ex1A"
"w10042447_keo","JOL","U",22773,0,"Ex1A"
"w10129023_aft","JOL","U",6570,0,"Ex1A"
"w10132704","JOL","U",3727,0,"Ex1A"
"w10139977_abt","JOL","U",4650,0,"Ex1A"
"w10140542KB","JOL","U",2064,0,"Ex1A"
"w10142718_ec","JOL","U",4439,0,"Ex1A"
"w10153807_MLP","JOL","U",3292,0,"Ex1A"
"w10157774HB","JOL","U",3688,0,"Ex1A"
"W10172829OA","JOL","U",3949,0,"Ex1A"
"W10174596_jw","JOL","U",12708,100,"Ex1A"
"w985404_djb","JOL","U",15579,0,"Ex1A"
"10111256JA","JOL","F",2125,100,"Ex1A"
"w10042447_keo","JOL","F",2224,100,"Ex1A"
"w10129023_aft","JOL","F",3058,100,"Ex1A"
"w10132704","JOL","F",4300,0,"Ex1A"
"w10139977_abt","JOL","F",3909,100,"Ex1A"
"w10140542KB","JOL","F",2881,100,"Ex1A"
"w10142718_ec","JOL","F",2732,100,"Ex1A"
"w10153807_MLP","JOL","F",5632,0,"Ex1A"
"w10157774HB","JOL","F",2281,0,"Ex1A"
"W10172829OA","JOL","F",3376,100,"Ex1A"
"W10174596_jw","JOL","F",3222,100,"Ex1A"
"w985404_djb","JOL","F",5006,100,"Ex1A"
"10111256JA","JOL","U",1195,0,"Ex1A"
"w10042447_keo","JOL","U",2402,0,"Ex1A"
"w10129023_aft","JOL","U",4514,0,"Ex1A"
"w10132704","JOL","U",1736,0,"Ex1A"
"w10139977_abt","JOL","U",6793,0,"Ex1A"
"w10140542KB","JOL","U",2168,0,"Ex1A"
"w10142718_ec","JOL","U",1794,100,"Ex1A"
"w10153807_MLP","JOL","U",5160,0,"Ex1A"
"w10157774HB","JOL","U",3922,0,"Ex1A"
"W10172829OA","JOL","U",5339,0,"Ex1A"
"W10174596_jw","JOL","U",3176,100,"Ex1A"
"w985404_djb","JOL","U",3292,0,"Ex1A"
"10111256JA","JOL","U",1558,0,"Ex1A"
"w10042447_keo","JOL","U",3362,0,"Ex1A"
"w10129023_aft","JOL","U",2476,100,"Ex1A"
"w10132704","JOL","U",3366,0,"Ex1A"
"w10139977_abt","JOL","U",9571,0,"Ex1A"
"w10140542KB","JOL","U",1564,0,"Ex1A"
"w10142718_ec","JOL","U",6111,0,"Ex1A"
"w10153807_MLP","JOL","U",4191,0,"Ex1A"
"w10157774HB","JOL","U",2165,0,"Ex1A"
"W10172829OA","JOL","U",2923,0,"Ex1A"
"W10174596_jw","JOL","U",2637,100,"Ex1A"
"w985404_djb","JOL","U",3021,0,"Ex1A"
"10111256JA","JOL","U",1167,0,"Ex1A"
"w10042447_keo","JOL","U",3444,0,"Ex1A"
"w10129023_aft","JOL","U",7740,100,"Ex1A"
"w10132704","JOL","U",2600,0,"Ex1A"
"w10139977_abt","JOL","U",4808,0,"Ex1A"
"w10140542KB","JOL","U",3176,0,"Ex1A"
"w10142718_ec","JOL","U",2509,100,"Ex1A"
"w10153807_MLP","JOL","U",5399,0,"Ex1A"
"w10157774HB","JOL","U",5198,100,"Ex1A"
"W10172829OA","JOL","U",4833,0,"Ex1A"
"W10174596_jw","JOL","U",4023,0,"Ex1A"
"w985404_djb","JOL","U",4267,0,"Ex1A"
"10111256JA","JOL","F",2714,0,"Ex1A"
"10111256JA","JOL","F",5731,0,"Ex1A"
"w10042447_keo","JOL","F",80504,100,"Ex1A"
"w10042447_keo","JOL","F",2761,100,"Ex1A"
"w10129023_aft","JOL","F",4072,100,"Ex1A"
"w10129023_aft","JOL","F",2698,100,"Ex1A"
"w10132704","JOL","F",2872,100,"Ex1A"
"w10132704","JOL","F",11790,100,"Ex1A"
"w10139977_abt","JOL","F",5413,100,"Ex1A"
"w10139977_abt","JOL","F",5750,100,"Ex1A"
"w10140542KB","JOL","F",2716,100,"Ex1A"
"w10140542KB","JOL","F",2469,100,"Ex1A"
"w10142718_ec","JOL","F",3312,100,"Ex1A"
"w10142718_ec","JOL","F",3381,100,"Ex1A"
"w10153807_MLP","JOL","F",4931,100,"Ex1A"
"w10153807_MLP","JOL","F",4379,100,"Ex1A"
"w10157774HB","JOL","F",4871,100,"Ex1A"
"w10157774HB","JOL","F",6499,100,"Ex1A"
"W10172829OA","JOL","F",10277,100,"Ex1A"
"W10172829OA","JOL","F",8803,100,"Ex1A"
"W10174596_jw","JOL","F",4059,0,"Ex1A"
"W10174596_jw","JOL","F",4714,0,"Ex1A"
"w985404_djb","JOL","F",3075,100,"Ex1A"
"w985404_djb","JOL","F",4676,100,"Ex1A"
"10111256JA","JOL","F",2482,0,"Ex1A"
"w10042447_keo","JOL","F",2204,100,"Ex1A"
"w10129023_aft","JOL","F",2533,100,"Ex1A"
"w10132704","JOL","F",2728,100,"Ex1A"
"w10139977_abt","JOL","F",5238,0,"Ex1A"
"w10140542KB","JOL","F",2147,100,"Ex1A"
"w10142718_ec","JOL","F",5354,0,"Ex1A"
"w10153807_MLP","JOL","F",3752,100,"Ex1A"
"w10157774HB","JOL","F",2760,100,"Ex1A"
"W10172829OA","JOL","F",4544,100,"Ex1A"
"W10174596_jw","JOL","F",4589,100,"Ex1A"
"w985404_djb","JOL","F",1764,100,"Ex1A"
"10111256JA","JOL","F",4363,0,"Ex1A"
"w10042447_keo","JOL","F",2283,100,"Ex1A"
"w10129023_aft","JOL","F",5008,100,"Ex1A"
"w10132704","JOL","F",3116,100,"Ex1A"
"w10139977_abt","JOL","F",4141,100,"Ex1A"
"w10140542KB","JOL","F",3004,100,"Ex1A"
"w10142718_ec","JOL","F",3897,100,"Ex1A"
"w10153807_MLP","JOL","F",4842,100,"Ex1A"
"w10157774HB","JOL","F",2612,100,"Ex1A"
"W10172829OA","JOL","F",4519,100,"Ex1A"
"W10174596_jw","JOL","F",6225,100,"Ex1A"
"w985404_djb","JOL","F",2437,100,"Ex1A"
"10111256JA","JOL","F",2654,0,"Ex1A"
"w10042447_keo","JOL","F",2174,100,"Ex1A"
"w10129023_aft","JOL","F",3041,0,"Ex1A"
"w10132704","JOL","F",2144,0,"Ex1A"
"w10139977_abt","JOL","F",2666,0,"Ex1A"
"w10140542KB","JOL","F",2123,100,"Ex1A"
"w10142718_ec","JOL","F",29909,100,"Ex1A"
"w10153807_MLP","JOL","F",7447,0,"Ex1A"
"w10157774HB","JOL","F",4032,0,"Ex1A"
"W10172829OA","JOL","F",6092,0,"Ex1A"
"W10174596_jw","JOL","F",3525,100,"Ex1A"
"w985404_djb","JOL","F",26380,0,"Ex1A"
"10111256JA","JOL","M",2887,0,"Ex1A"
"w10042447_keo","JOL","M",2209,0,"Ex1A"
"w10129023_aft","JOL","M",2634,0,"Ex1A"
"w10132704","JOL","M",3294,100,"Ex1A"
"w10139977_abt","JOL","M",2923,100,"Ex1A"
"w10140542KB","JOL","M",2323,0,"Ex1A"
"w10142718_ec","JOL","M",4039,0,"Ex1A"
"w10153807_MLP","JOL","M",3124,0,"Ex1A"
"w10157774HB","JOL","M",3418,0,"Ex1A"
"W10172829OA","JOL","M",5719,0,"Ex1A"
"W10174596_jw","JOL","M",3721,0,"Ex1A"
"w985404_djb","JOL","M",4250,0,"Ex1A"
"10111256JA","JOL","F",3174,100,"Ex1A"
"w10042447_keo","JOL","F",3185,100,"Ex1A"
"w10129023_aft","JOL","F",8207,100,"Ex1A"
"w10132704","JOL","F",3343,100,"Ex1A"
"w10139977_abt","JOL","F",2388,100,"Ex1A"
"w10140542KB","JOL","F",4127,100,"Ex1A"
"w10142718_ec","JOL","F",2672,100,"Ex1A"
"w10153807_MLP","JOL","F",3101,0,"Ex1A"
"w10157774HB","JOL","F",2492,0,"Ex1A"
"W10172829OA","JOL","F",4553,100,"Ex1A"
"W10174596_jw","JOL","F",7029,100,"Ex1A"
"w985404_djb","JOL","F",2580,100,"Ex1A"
"10111256JA","JOL","U",1892,0,"Ex1A"
"w10042447_keo","JOL","U",3137,0,"Ex1A"
"w10129023_aft","JOL","U",3798,0,"Ex1A"
"w10132704","JOL","U",2853,0,"Ex1A"
"w10139977_abt","JOL","U",5897,0,"Ex1A"
"w10140542KB","JOL","U",3631,0,"Ex1A"
"w10142718_ec","JOL","U",2993,100,"Ex1A"
"w10153807_MLP","JOL","U",4532,0,"Ex1A"
"w10157774HB","JOL","U",4957,0,"Ex1A"
"W10172829OA","JOL","U",3129,0,"Ex1A"
"W10174596_jw","JOL","U",6843,100,"Ex1A"
"w985404_djb","JOL","U",4396,0,"Ex1A"
"10111256JA","JOL","U",1537,0,"Ex1A"
"w10042447_keo","JOL","U",3405,0,"Ex1A"
"w10129023_aft","JOL","U",5277,0,"Ex1A"
"w10132704","JOL","U",3790,0,"Ex1A"
"w10139977_abt","JOL","U",2086,0,"Ex1A"
"w10140542KB","JOL","U",1788,0,"Ex1A"
"w10142718_ec","JOL","U",10485,0,"Ex1A"
"w10153807_MLP","JOL","U",7377,0,"Ex1A"
"w10157774HB","JOL","U",6680,0,"Ex1A"
"W10172829OA","JOL","U",3163,0,"Ex1A"
"W10174596_jw","JOL","U",3893,0,"Ex1A"
"w985404_djb","JOL","U",2010,0,"Ex1A"
"10111256JA","JOL","F",4132,100,"Ex1A"
"w10042447_keo","JOL","F",3647,0,"Ex1A"
"w10129023_aft","JOL","F",2843,100,"Ex1A"
"w10132704","JOL","F",2721,0,"Ex1A"
"w10139977_abt","JOL","F",6886,100,"Ex1A"
"w10140542KB","JOL","F",3260,100,"Ex1A"
"w10142718_ec","JOL","F",6782,100,"Ex1A"
"w10153807_MLP","JOL","F",3305,100,"Ex1A"
"w10157774HB","JOL","F",4909,100,"Ex1A"
"W10172829OA","JOL","F",2867,100,"Ex1A"
"W10174596_jw","JOL","F",6632,100,"Ex1A"
"w985404_djb","JOL","F",2279,0,"Ex1A"
"10111256JA","JOL","U",2742,0,"Ex1A"
"w10042447_keo","JOL","U",2014,0,"Ex1A"
"w10129023_aft","JOL","U",6768,0,"Ex1A"
"w10132704","JOL","U",2917,0,"Ex1A"
"w10139977_abt","JOL","U",4332,0,"Ex1A"
"w10140542KB","JOL","U",981,0,"Ex1A"
"w10142718_ec","JOL","U",1819,0,"Ex1A"
"w10153807_MLP","JOL","U",2216,0,"Ex1A"
"w10157774HB","JOL","U",2317,0,"Ex1A"
"W10172829OA","JOL","U",2939,0,"Ex1A"
"W10174596_jw","JOL","U",5998,100,"Ex1A"
"w985404_djb","JOL","U",1882,0,"Ex1A"
"10111256JA","JOL","U",2207,0,"Ex1A"
"w10042447_keo","JOL","U",2177,0,"Ex1A"
"w10129023_aft","JOL","U",5012,0,"Ex1A"
"w10132704","JOL","U",4794,0,"Ex1A"
"w10139977_abt","JOL","U",4119,100,"Ex1A"
"w10140542KB","JOL","U",2713,100,"Ex1A"
"w10142718_ec","JOL","U",5668,0,"Ex1A"
"w10153807_MLP","JOL","U",4012,0,"Ex1A"
"w10157774HB","JOL","U",2968,0,"Ex1A"
"W10172829OA","JOL","U",85875,0,"Ex1A"
"W10174596_jw","JOL","U",2791,0,"Ex1A"
"w985404_djb","JOL","U",2038,0,"Ex1A"
"10111256JA","JOL","F",2081,0,"Ex1A"
"w10042447_keo","JOL","F",3698,100,"Ex1A"
"w10129023_aft","JOL","F",4543,100,"Ex1A"
"w10132704","JOL","F",4364,0,"Ex1A"
"w10139977_abt","JOL","F",2771,100,"Ex1A"
"w10140542KB","JOL","F",2606,100,"Ex1A"
"w10142718_ec","JOL","F",59271,100,"Ex1A"
"w10153807_MLP","JOL","F",4124,100,"Ex1A"
"w10157774HB","JOL","F",5597,100,"Ex1A"
"W10172829OA","JOL","F",3474,100,"Ex1A"
"W10174596_jw","JOL","F",5845,100,"Ex1A"
"w985404_djb","JOL","F",4170,100,"Ex1A"
"10111256JA","JOL","U",2273,0,"Ex1A"
"w10042447_keo","JOL","U",2816,0,"Ex1A"
"w10129023_aft","JOL","U",4587,100,"Ex1A"
"w10132704","JOL","U",3126,100,"Ex1A"
"w10139977_abt","JOL","U",2979,0,"Ex1A"
"w10140542KB","JOL","U",3125,0,"Ex1A"
"w10142718_ec","JOL","U",4295,0,"Ex1A"
"w10153807_MLP","JOL","U",4339,0,"Ex1A"
"w10157774HB","JOL","U",2170,0,"Ex1A"
"W10172829OA","JOL","U",3407,100,"Ex1A"
"W10174596_jw","JOL","U",3058,100,"Ex1A"
"w985404_djb","JOL","U",3220,100,"Ex1A"
"10111256JA","JOL","M",3147,0,"Ex1A"
"w10042447_keo","JOL","M",4784,0,"Ex1A"
"w10129023_aft","JOL","M",5820,0,"Ex1A"
"w10132704","JOL","M",2148,0,"Ex1A"
"w10139977_abt","JOL","M",2847,0,"Ex1A"
"w10140542KB","JOL","M",2381,100,"Ex1A"
"w10142718_ec","JOL","M",37721,100,"Ex1A"
"w10153807_MLP","JOL","M",6867,0,"Ex1A"
"w10157774HB","JOL","M",5390,0,"Ex1A"
"W10172829OA","JOL","M",5237,100,"Ex1A"
"W10174596_jw","JOL","M",3785,0,"Ex1A"
"w985404_djb","JOL","M",3084,0,"Ex1A"
"10111256JA","JOL","M",1886,0,"Ex1A"
"w10042447_keo","JOL","M",2275,0,"Ex1A"
"w10129023_aft","JOL","M",4583,0,"Ex1A"
"w10132704","JOL","M",3619,0,"Ex1A"
"w10139977_abt","JOL","M",3076,0,"Ex1A"
"w10140542KB","JOL","M",2502,0,"Ex1A"
"w10142718_ec","JOL","M",3371,0,"Ex1A"
"w10153807_MLP","JOL","M",4918,0,"Ex1A"
"w10157774HB","JOL","M",4716,0,"Ex1A"
"W10172829OA","JOL","M",3639,0,"Ex1A"
"W10174596_jw","JOL","M",4753,0,"Ex1A"
"w985404_djb","JOL","M",3382,0,"Ex1A"
"10111256JA","JOL","F",1798,100,"Ex1A"
"w10042447_keo","JOL","F",1737,100,"Ex1A"
"w10129023_aft","JOL","F",2265,100,"Ex1A"
"w10132704","JOL","F",2868,100,"Ex1A"
"w10139977_abt","JOL","F",3098,100,"Ex1A"
"w10140542KB","JOL","F",1439,100,"Ex1A"
"w10142718_ec","JOL","F",2716,100,"Ex1A"
"w10153807_MLP","JOL","F",3641,100,"Ex1A"
"w10157774HB","JOL","F",2789,100,"Ex1A"
"W10172829OA","JOL","F",5727,100,"Ex1A"
"W10174596_jw","JOL","F",3009,100,"Ex1A"
"w985404_djb","JOL","F",3103,100,"Ex1A"
"10111256JA","JOL","U",1544,0,"Ex1A"
"w10042447_keo","JOL","U",3255,0,"Ex1A"
"w10129023_aft","JOL","U",4181,100,"Ex1A"
"w10132704","JOL","U",3267,0,"Ex1A"
"w10139977_abt","JOL","U",3766,0,"Ex1A"
"w10140542KB","JOL","U",1031,0,"Ex1A"
"w10142718_ec","JOL","U",3052,0,"Ex1A"
"w10153807_MLP","JOL","U",2244,0,"Ex1A"
"w10157774HB","JOL","U",3097,0,"Ex1A"
"W10172829OA","JOL","U",3629,0,"Ex1A"
"W10174596_jw","JOL","U",3545,100,"Ex1A"
"w985404_djb","JOL","U",2065,0,"Ex1A"
"10111256JA","JOL","F",2247,100,"Ex1A"
"w10042447_keo","JOL","F",3349,100,"Ex1A"
"w10129023_aft","JOL","F",3793,100,"Ex1A"
"w10132704","JOL","F",2177,0,"Ex1A"
"w10139977_abt","JOL","F",6796,100,"Ex1A"
"w10140542KB","JOL","F",3476,100,"Ex1A"
"w10142718_ec","JOL","F",2734,100,"Ex1A"
"w10153807_MLP","JOL","F",5022,100,"Ex1A"
"w10157774HB","JOL","F",3100,100,"Ex1A"
"W10172829OA","JOL","F",3542,100,"Ex1A"
"W10174596_jw","JOL","F",3248,100,"Ex1A"
"w985404_djb","JOL","F",2403,0,"Ex1A"
"10111256JA","JOL","M",3216,0,"Ex1A"
"w10042447_keo","JOL","M",2431,100,"Ex1A"
"w10129023_aft","JOL","M",3743,100,"Ex1A"
"w10132704","JOL","M",5032,100,"Ex1A"
"w10139977_abt","JOL","M",4984,100,"Ex1A"
"w10140542KB","JOL","M",1778,100,"Ex1A"
